dataset,wins,mean_delta_pp,median_delta_pp,min_delta_pp,max_delta_pp,ci95_low,ci95_high,paired_dz,ttest_p,wilcoxon_p,sign_test_p
amazon-computers,7/10,1.8699063403419913,1.282824313680159,-1.0111676416043167,7.546027902026864,-0.07112174540550997,3.8109344260894926,0.6891453163079244,,,
amazon-photo,6/10,0.3903455829620356,0.6068955183029132,-3.8896531548992925,3.6413815629893094,-1.1969496610343269,1.9776408269583983,0.17591964037572366,,,
chameleon,7/10,0.9210532067114983,0.5482459277437428,-0.6578921226032577,3.5087695247248547,-0.13726476829010692,1.9793711817131034,0.6225744887331967,,,
cornell,7/10,2.9729732307228147,4.054053409679554,-10.81081338830893,18.91892020766801,-4.054362948588443,10.000309410034072,0.3026377104566629,,,
texas,7/10,1.9914647466258018,1.671409136370606,-10.241821251417491,8.53484806261568,-2.3486083083869467,6.33153780163855,0.3282451796256463,,,
wisconsin,5/10,0.980391163452019,1.960783145006971,-9.803922386730434,9.803920283037115,-3.8447067592939064,5.8054890861979445,0.14535033289981894,,,
Dataset-level aggregate,6/6,1.5210223784693602,1.4251487518970052,0.3903455829620356,2.9729732307228147,0.5385945113852981,2.503450245553422,1.6247656917375735,0.010532332252777842,0.03125,0.03125
