dataset,repeat,src_test_acc,baseline_test_acc,delta_pp,src_win
amazon-computers,0,77.6184726833685,75.58104395866394,2.0374287247045544,True
amazon-computers,1,80.48596438273469,76.24509334564209,4.240871037092603,True
amazon-computers,2,77.41472985209779,77.34681367874146,0.0679161733563376,True
amazon-computers,3,79.6030787805614,78.5768210887909,1.0262576917705104,True
amazon-computers,4,79.0220344099004,71.47600650787354,7.546027902026864,True
amazon-computers,5,79.0144883791126,79.4823408126831,-0.4678524335704992,False
amazon-computers,6,78.7730153939028,77.23362445831299,1.5393909355898074,True
amazon-computers,7,80.1162088741322,75.95834732055664,4.157861553575557,True
amazon-computers,8,77.210987020827,77.64865756034851,-0.4376705395215055,False
amazon-computers,9,77.8373075762149,78.84847521781921,-1.0111676416043167,False
amazon-photo,0,88.6758620689655,89.39310312271118,-0.7172410537456813,False
amazon-photo,1,88.9793103448276,90.04138112068176,-1.062070775854167,False
amazon-photo,2,85.6827586206897,89.57241177558899,-3.8896531548992925,False
amazon-photo,3,89.9586206896552,86.92413568496704,3.0344850046881646,True
amazon-photo,4,89.48965517241379,90.70344567298888,-1.2137905005750866,False
amazon-photo,5,89.4758620689655,87.72413730621338,1.7517247627521186,True
amazon-photo,6,88.6068965517241,87.46206760406494,1.144828947659164,True
amazon-photo,7,87.8068965517241,87.25517392158508,0.551722630139011,True
amazon-photo,8,90.5931034482759,89.93103504180908,0.6620684064668154,True
amazon-photo,9,88.3310344827586,84.68965291976929,3.6413815629893094,True
chameleon,0,72.5877192982456,69.73684430122375,2.8508749970218474,True
chameleon,1,76.3157894736842,72.80701994895935,3.5087695247248547,True
chameleon,2,70.3947368421053,70.61403393745422,-0.21929709534892083,False
chameleon,3,71.0526315789474,71.05262875556946,2.823377940330829e-06,True
chameleon,4,74.3421052631579,73.24561476707458,1.0964904960833195,True
chameleon,5,73.4649122807018,74.12280440330505,-0.6578921226032577,False
chameleon,6,70.6140350877193,70.3947365283966,0.21929855932269504,True
chameleon,7,71.2719298245614,70.3947365283966,0.8771932961647906,True
chameleon,8,71.92982456140349,72.58771657943726,-0.6578920180337633,False
chameleon,9,72.8070175438597,70.61403393745422,2.192983606405477,True
cornell,0,81.0810810810811,62.162160873413086,18.91892020766801,True
cornell,1,62.162162162162204,72.972971200943,-10.81080903878079,False
cornell,2,81.0810810810811,70.27027010917664,10.81081097190446,True
cornell,3,75.6756756756757,67.56756901741028,8.108106658265427,True
cornell,4,78.3783783783784,83.7837815284729,-5.4054031500945,False
cornell,5,83.7837837837838,72.972971200943,10.81081258284081,True
cornell,6,81.0810810810811,81.08108043670654,6.443745519391086e-07,True
cornell,7,72.97297297297301,70.27027010917664,2.7027028637963753,True
cornell,8,72.97297297297301,67.56756901741028,5.405403955562733,True
cornell,9,64.8648648648649,75.67567825317383,-10.81081338830893,False
texas,0,86.8421052631579,78.37837934494019,8.463725918217719,True
texas,1,89.4736842105263,89.18918967247009,0.28449453805620806,True
texas,2,78.9473684210526,89.18918967247009,-10.241821251417491,False
texas,3,86.8421052631579,83.7837815284729,3.058323734685004,True
texas,4,84.21052631578951,75.67567825317383,8.53484806261568,True
texas,5,81.5789473684211,83.7837815284729,-2.204834160051803,False
texas,6,89.4736842105263,81.08108043670654,8.392603773819758,True
texas,7,84.21052631578951,86.48648858070374,-2.2759622649142273,False
texas,8,89.4736842105263,89.18918967247009,0.28449453805620806,True
texas,9,92.1052631578947,86.48648858070374,5.618774577190962,True
wisconsin,0,90.1960784313726,82.35294222831726,7.843136203055337,True
wisconsin,1,86.27450980392159,86.27451062202454,-8.181029471643342e-07,False
wisconsin,2,84.3137254901961,88.23529481887817,-3.921569328682068,False
wisconsin,3,86.27450980392159,88.23529481887817,-1.9607850149565849,False
wisconsin,4,88.2352941176471,78.43137383460999,9.803920283037115,True
wisconsin,5,86.27450980392159,80.39215803146362,5.882351772457966,True
wisconsin,6,84.3137254901961,78.43137383460999,5.88235165558612,True
wisconsin,7,78.4313725490196,74.50980544090271,3.9215671081168892,True
wisconsin,8,82.3529411764706,90.1960790157318,-7.843137839261203,False
wisconsin,9,76.4705882352941,86.27451062202454,-9.803922386730434,False
