dataset,split,class,n_nodes_all,n_nodes_test,R_c,L_c,H_c,T_c,S_c,VarSignal_c,test_acc_c
wisconsin,0,0,10,1,0.08732570176787205,0.5836962218105582,0.32897807638069276,1.359055406515804,0.6149080439773601,0.0,0.0
wisconsin,0,1,70,12,0.1329281405062713,0.557901756351794,0.30917010309945725,2.002034817061124,0.7240268706222169,0.0014825716772451482,0.9166666666666666
wisconsin,0,2,118,27,0.10959415332322572,0.5506216951622596,0.33978415147259433,1.8255784152371846,0.6681194259869594,0.0025436816074850183,0.9629629629629629
wisconsin,0,3,32,8,0.13894089927003833,0.5439267686171252,0.31713233206723757,1.6381227329937993,0.7375918917633906,0.0018952946800136136,0.875
wisconsin,0,4,21,3,0.09067718128837854,0.538235300108721,0.3710875185588738,1.508051531030284,0.6980019268324195,0.0010588517336122772,0.6666666666666666

