experiment,dataset,target_id,split_id,repeat,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc_shadow_not_for_selection,val_bal_acc,objective,num_selected_features
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.9,"(0.1, 1.0, 10.0)",0.7,full,"[0.1, 1.0, 10.0]",0.8910256410256411,0.6803840877914952,0.6842105263157895,0.6770870148679138,0.6803840877914952,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.9,"(0.1, 1.0, 10.0)",0.8,full,"[0.1, 1.0, 10.0]",0.8882783882783882,0.6803840877914952,0.6842105263157895,0.6770397648206637,0.6803840877914952,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.01, 0.1, 1.0)",0.2,full,"[0.01, 0.1, 1.0]",0.9642857142857144,0.7064471879286695,0.6820175438596491,0.7039410179859619,0.7064471879286695,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.01, 0.1, 1.0)",0.3,full,"[0.01, 0.1, 1.0]",0.9642857142857144,0.7064471879286695,0.6798245614035088,0.7039410179859619,0.7064471879286695,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9606227106227108,0.7037037037037037,0.6864035087719298,0.7012383152832591,0.7037037037037037,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.956959706959707,0.7023319615912208,0.6842105263157895,0.7001147197776412,0.7023319615912208,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9505494505494504,0.6941015089163237,0.6885964912280702,0.6902691599320814,0.6941015089163237,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.01, 0.1, 1.0)",0.7,full,"[0.01, 0.1, 1.0]",0.945054945054945,0.6872427983539094,0.6907894736842105,0.6830307901937115,0.6872427983539094,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.01, 0.1, 1.0)",0.8,full,"[0.01, 0.1, 1.0]",0.9368131868131868,0.6886145404663924,0.6929824561403509,0.6841543856993294,0.6886145404663924,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.05, 0.5, 5.0)",0.2,full,"[0.05, 0.5, 5.0]",0.9157509157509156,0.710562414266118,0.6820175438596491,0.7085239350688789,0.710562414266118,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.05, 0.5, 5.0)",0.3,full,"[0.05, 0.5, 5.0]",0.9148351648351648,0.7078189300411523,0.6842105263157895,0.7057739823189262,0.7078189300411523,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9166666666666666,0.700960219478738,0.6864035087719298,0.6976668867118305,0.700960219478738,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9184981684981685,0.6954732510288066,0.6864035087719298,0.6920548742177957,0.6954732510288066,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9157509157509156,0.6872427983539094,0.6885964912280702,0.683577260122204,0.6872427983539094,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.05, 0.5, 5.0)",0.7,full,"[0.05, 0.5, 5.0]",0.9148351648351648,0.6817558299039781,0.6842105263157895,0.6783051104680318,0.6817558299039781,4000
MAIN_SRC_V16C_10REPEAT_FILL_TRACE,chameleon,0,0,0,4000,32,0.95,"(0.05, 0.5, 5.0)",0.8,full,"[0.05, 0.5, 5.0]",0.9065934065934066,0.6790123456790124,0.6864035087719298,0.6759246637055626,0.6790123456790124,4000
