experiment,dataset,repeat,split,split_id,split_seed,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,val_bal_acc,num_features_after_variant,test_acc,pca_dims_json,retained_variance_json,time_sec,selection_rule,source_file
E05,amazon-computers,1,1,,20260420,class_balanced_random_20_train_30_val_per_class,no_sym,src_v16c_ablation,200,300,13252,4000,64,0.99,"(0.05, 0.5, 5.0)",0.6,no_sym,"[0.05, 0.5, 5.0]",1.0,0.7866666666666666,0.7866666666666667,4602,0.7359643827346816,"{""0"": 19, ""1"": 19, ""2"": 19, ""3"": 19, ""4"": 19, ""5"": 18, ""6"": 18, ""7"": 19, ""8"": 19, ""9"": 19}","{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 0.9907620995677302, ""6"": 0.9929561223454024, ""7"": 1.0, ""8"": 1.0, ""9"": 1.0}",725.6829933970002,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r1/E05_ablation_rows.csv
E05,amazon-computers,1,1,,20260420,class_balanced_random_20_train_30_val_per_class,no_highpass,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,no_highpass,"[0.05, 0.5, 5.0]",0.995,0.8633333333333333,0.8633333333333333,4602,0.8056897072140055,"{""0"": 17, ""1"": 14, ""2"": 17, ""3"": 16, ""4"": 16, ""5"": 16, ""6"": 16, ""7"": 17, ""8"": 14, ""9"": 16}","{""0"": 0.951464271397821, ""1"": 0.9507656926648578, ""2"": 0.9607795066843162, ""3"": 0.9531122227319421, ""4"": 0.9581691081177705, ""5"": 0.9550612962209137, ""6"": 0.96304106365345, ""7"": 0.9683643416261987, ""8"": 0.9506764956039357, ""9"": 0.9537745011777172}",636.4868938459986,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r1/E05_ablation_rows.csv
E05,amazon-computers,1,1,,20260420,class_balanced_random_20_train_30_val_per_class,pca_only,src_v16c_ablation,200,300,13252,4000,64,0.99,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",1.0,0.85,0.85,6903,0.791654089948687,"{""0"": 19, ""1"": 18, ""2"": 19, ""3"": 19, ""4"": 19, ""5"": 19, ""6"": 19, ""7"": 19, ""8"": 18, ""9"": 19}","{""0"": 1.0, ""1"": 0.9900898326301499, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 1.0, ""6"": 1.0, ""7"": 1.0, ""8"": 0.9912750177252936, ""9"": 1.0}",226.497171807001,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r1/E05_ablation_rows.csv
E05,amazon-computers,1,1,,20260420,class_balanced_random_20_train_30_val_per_class,ridge_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",1.0,0.8766666666666667,0.8766666666666667,6903,0.8057651675218835,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 17, ""4"": 16, ""5"": 17, ""6"": 17, ""7"": 17, ""8"": 16, ""9"": 17}","{""0"": 0.9508313828615452, ""1"": 0.9607032977560218, ""2"": 0.955994477307182, ""3"": 0.9640306479000185, ""4"": 0.9528429974890424, ""5"": 0.9698363016090791, ""6"": 0.9699353311493041, ""7"": 0.9622850832656241, ""8"": 0.9624675159496869, ""9"": 0.9688221539862585}",231.1457617709966,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r1/E05_ablation_rows.csv
E05,amazon-computers,1,1,,20260420,class_balanced_random_20_train_30_val_per_class,single_alpha,src_v16c_ablation,200,300,13252,4000,64,0.95,"(1.0,)",0.5,full,[1.0],1.0,0.86,0.86,6903,0.7918804708723212,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 17, ""4"": 16, ""5"": 17, ""6"": 17, ""7"": 17, ""8"": 16, ""9"": 17}","{""0"": 0.9508313828615452, ""1"": 0.9607032977560218, ""2"": 0.955994477307182, ""3"": 0.9640306479000185, ""4"": 0.9528429974890424, ""5"": 0.9698363016090791, ""6"": 0.9699353311493041, ""7"": 0.9622850832656241, ""8"": 0.9624675159496869, ""9"": 0.9688221539862585}",334.7392280790009,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r1/E05_ablation_rows.csv
E05,amazon-computers,1,1,,20260420,class_balanced_random_20_train_30_val_per_class,fixed_dim64_energy095,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.8666666666666667,0.8666666666666668,6903,0.8048596438273468,"{""0"": 17, ""1"": 16, ""2"": 17, ""3"": 17, ""4"": 16, ""5"": 17, ""6"": 17, ""7"": 17, ""8"": 16, ""9"": 17}","{""0"": 0.9508313828615452, ""1"": 0.9607032977560218, ""2"": 0.955994477307182, ""3"": 0.9640306479000185, ""4"": 0.9528429974890424, ""5"": 0.9698363016090791, ""6"": 0.9699353311493041, ""7"": 0.9622850832656241, ""8"": 0.9624675159496869, ""9"": 0.9688221539862585}",178.23716470199724,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r1/E05_ablation_rows.csv
E05,amazon-computers,1,1,,20260420,class_balanced_random_20_train_30_val_per_class,raw_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,raw_only,"[0.05, 0.5, 5.0]",0.995,0.71,0.71,767,0.6399034108059161,"{""0"": 18, ""1"": 14, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 15, ""7"": 17, ""8"": 16, ""9"": 16}","{""0"": 0.9737742979817652, ""1"": 0.9554497851183164, ""2"": 0.969292165973689, ""3"": 0.9705763058237754, ""4"": 0.9664710663935733, ""5"": 0.9544000325446065, ""6"": 0.9515733687284427, ""7"": 0.9693167647723748, ""8"": 0.9594436891503606, ""9"": 0.9545356979567622}",149.2950287720014,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r1/E05_ablation_rows.csv
E05,amazon-computers,1,1,,20260420,class_balanced_random_20_train_30_val_per_class,row_lowpass_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,row_lowpass_only,"[0.01, 0.1, 1.0]",1.0,0.8533333333333334,0.8533333333333333,3068,0.7923332327195894,"{""0"": 18, ""1"": 14, ""2"": 17, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 17, ""8"": 16, ""9"": 16}","{""0"": 0.9723744429340352, ""1"": 0.9508150015719558, ""2"": 0.965998856494457, ""3"": 0.9705056351522615, ""4"": 0.9656438318529978, ""5"": 0.9537111778986754, ""6"": 0.9703249621134545, ""7"": 0.965075682562989, ""8"": 0.969792114800562, ""9"": 0.9527686730585309}",439.6582543650002,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r1/E05_ablation_rows.csv
E05,amazon-computers,2,2,,20260421,class_balanced_random_20_train_30_val_per_class,no_p3,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,no_p3,"[0.01, 0.1, 1.0]",1.0,0.8233333333333334,0.8233333333333333,6136,0.7486417144581949,"{""0"": 18, ""1"": 17, ""2"": 17, ""3"": 18, ""4"": 17, ""5"": 16, ""6"": 17, ""7"": 16, ""8"": 17, ""9"": 17}","{""0"": 0.9729949319051265, ""1"": 0.9691194124213041, ""2"": 0.9534361002800038, ""3"": 0.9749218165023417, ""4"": 0.959850661741762, ""5"": 0.9667074620205369, ""6"": 0.9687587153666847, ""7"": 0.9547708237600102, ""8"": 0.9641977268550098, ""9"": 0.9668939607077621}",772.1389234960006,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r2/E05_ablation_rows.csv
E05,amazon-computers,2,2,,20260421,class_balanced_random_20_train_30_val_per_class,no_sym,src_v16c_ablation,200,300,13252,4000,64,0.99,"(0.01, 0.1, 1.0)",0.4,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8166666666666667,0.8166666666666667,4602,0.7253999396317536,"{""0"": 19, ""1"": 19, ""2"": 19, ""3"": 19, ""4"": 19, ""5"": 18, ""6"": 18, ""7"": 19, ""8"": 19, ""9"": 19}","{""0"": 1.0, ""1"": 1.0, ""2"": 1.0, ""3"": 1.0, ""4"": 1.0, ""5"": 0.9960231453736228, ""6"": 0.9917805738117217, ""7"": 1.0, ""8"": 1.0, ""9"": 1.0}",603.5360133829963,ablation_grid_selected_by_val_only_test_once_after_selection_no_full,results/E05_ablation_same_splits_no_full/single_runs/amazon-computers_r2/E05_ablation_rows.csv
