dataset,ablation,n,train_mean,train_std,val_mean,val_std,test_mean,test_std,train_size,val_size,test_size,split_policy,train_mean_%,train_std_%,val_mean_%,val_std_%,test_mean_%,test_std_%
amazon-photo,fixed_dim64_energy095,1,1.0,,0.9083333333333333,,0.9001379310344828,,160,240,7250,class_balanced_random_20_train_30_val_per_class,100.0,,90.83333333333333,,90.01379310344828,
amazon-photo,no_highpass,1,1.0,,0.9083333333333333,,0.8947586206896552,,160,240,7250,class_balanced_random_20_train_30_val_per_class,100.0,,90.83333333333333,,89.47586206896551,
amazon-photo,no_p3,1,1.0,,0.8916666666666667,,0.8881379310344828,,160,240,7250,class_balanced_random_20_train_30_val_per_class,100.0,,89.16666666666667,,88.81379310344828,
amazon-photo,no_sym,1,1.0,,0.9,,0.8529655172413793,,160,240,7250,class_balanced_random_20_train_30_val_per_class,100.0,,90.0,,85.29655172413793,
amazon-photo,pca_only,1,1.0,,0.8958333333333334,,0.8848275862068965,,160,240,7250,class_balanced_random_20_train_30_val_per_class,100.0,,89.58333333333334,,88.48275862068965,
amazon-photo,raw_only,1,1.0,,0.85,,0.7863448275862069,,160,240,7250,class_balanced_random_20_train_30_val_per_class,100.0,,85.0,,78.63448275862069,
amazon-photo,ridge_only,1,1.0,,0.9083333333333333,,0.8975172413793103,,160,240,7250,class_balanced_random_20_train_30_val_per_class,100.0,,90.83333333333333,,89.75172413793103,
amazon-photo,row_lowpass_only,1,1.0,,0.9125,,0.8903448275862069,,160,240,7250,class_balanced_random_20_train_30_val_per_class,100.0,,91.25,,89.0344827586207,
amazon-photo,single_alpha,1,1.0,,0.9125,,0.8944827586206896,,160,240,7250,class_balanced_random_20_train_30_val_per_class,100.0,,91.25,,89.44827586206895,

