dataset,method,n,val_mean,val_std,test_mean,test_std,time_mean,params_mean
actor,appnp,10,0.3324835509061813,0.012114558036587402,0.32335526645183565,0.01538921225389486,44.7494,60037.0
actor,correct_smooth,10,0.32578124701976774,0.00745455243519547,0.31315789222717283,0.008447966386061356,15.124699999999999,60037.0
actor,gat,10,0.2997944116592407,0.007872264064941278,0.2907236844301223,0.011460093098965448,46.0569,240655.0
actor,gcnii,10,0.323067432641983,0.018409183884019662,0.31842105388641356,0.01811302631569781,112.1635,92805.0
actor,graphsage,10,0.3741776347160339,0.011365358190078336,0.361118420958519,0.013738816962315274,11.0387,120005.0
actor,linkx,10,0.2900082230567932,0.006248110313139997,0.287302628159523,0.01604342900145061,3.3888,559109.0
actor,mlp_prop,10,0.3543585538864135,0.008655078735484113,0.34710526466369623,0.012494999088317962,16.1876,60037.0
actor,sign,10,0.37956414222717283,0.00920548564822411,0.3686842083930969,0.010045675695870594,7.9494,238981.0
amazon-computers,appnp,10,0.7150000095367431,0.03954213224875103,0.6756187796592712,0.039354598944772674,208.4961,49802.0
amazon-computers,correct_smooth,10,0.8473333358764649,0.01871159521898533,0.763537585735321,0.021734331029821956,75.3398,49802.0
amazon-computers,gat,10,0.7476666629314422,0.05135329801283589,0.6972985208034516,0.05122531197081709,216.70149999999998,199710.0
amazon-computers,gcnii,10,0.33233333081007005,0.11832211409962932,0.2730304859578609,0.14797902874806876,404.2063,82570.0
amazon-computers,graphsage,10,0.8550000011920929,0.023946958516839256,0.7745849609375,0.018749279172171493,142.98,99530.0
amazon-computers,linkx,10,0.662666666507721,0.02900829857932957,0.48942801356315613,0.07139963338205689,22.463,942602.0
amazon-computers,mlp_prop,10,0.7189999878406524,0.03675243670583425,0.6739662051200866,0.039524558665832314,120.94369999999999,49802.0
amazon-computers,sign,10,0.8366666674613953,0.02581988829072993,0.7481210410594941,0.017871346947020195,28.7365,197066.0
amazon-photo,appnp,10,0.8370833456516266,0.040035188450179095,0.8300689578056335,0.021305167247424615,96.94269999999999,48264.0
amazon-photo,correct_smooth,10,0.899999988079071,0.014958797157013547,0.8624413788318634,0.02355442022953038,45.950599999999994,48264.0
amazon-photo,gat,10,0.8666666746139526,0.021063522812383325,0.8463310301303864,0.02629164926442823,120.6087,193560.0
amazon-photo,gcnii,10,0.6129166692495346,0.13734488980920334,0.5747724145650863,0.1520732106083785,261.7013,81032.0
amazon-photo,graphsage,10,0.9099999964237213,0.012453632363743332,0.87586207985878,0.013272796053659441,59.9011,96456.0
amazon-photo,linkx,10,0.7350000023841858,0.03987829454768596,0.6420965492725372,0.031594378637346605,12.0389,550536.0
amazon-photo,mlp_prop,10,0.8462499916553498,0.03729107624524636,0.8358620762825012,0.028982160705193806,55.83820000000001,48264.0
amazon-photo,sign,10,0.8841666638851166,0.023471800441709132,0.8423586249351501,0.020760390270286887,13.523500000000002,191304.0
chameleon,appnp,10,0.4602194756269455,0.012375277141215944,0.4554824560880661,0.024355385535816773,52.0924,149189.0
chameleon,correct_smooth,10,0.4894375890493393,0.01416433673686759,0.48179824352264405,0.03576720740282697,8.3361,149189.0
chameleon,gat,10,0.5898491144180298,0.010121595988627378,0.5846491098403931,0.011705047507163203,57.3941,597263.0
