dataset,method,n,val_mean,val_std,test_mean,test_std,time_mean,params_mean
actor,sign,10,0.37956414222717283,0.00920548564822411,0.3686842083930969,0.010045675695870594,7.9494,238981.0
amazon-computers,graphsage,10,0.8550000011920929,0.023946958516839256,0.7745849609375,0.018749279172171493,142.98,99530.0
amazon-photo,graphsage,10,0.9099999964237213,0.012453632363743332,0.87586207985878,0.013272796053659441,59.9011,96456.0
chameleon,linkx,10,0.7255143880844116,0.01589813376970192,0.7124999940395356,0.014853749737580968,4.5922,307589.0
cornell,graphsage,10,0.7474576294422149,0.06561946983680207,0.7027026951313019,0.05697798273609989,0.9846999999999999,218693.0
squirrel,linkx,10,0.6314903736114502,0.011802940830449048,0.6221902012825012,0.020201109216895434,24.4588,479621.0
texas,graphsage,10,0.8220339000225068,0.061501520567847294,0.783783781528473,0.07956540177959719,0.8028000000000001,218693.0
wisconsin,graphsage,10,0.8212499976158142,0.04126892638226175,0.8196078538894653,0.03175152177149078,1.3018,218693.0

