split,best_dim,class_label,branch_index,kind,confuser_class,basis_dim,member_size,radius,class_scale,extra_bias_scale,gate_strength,seed_size,median_gain,pair_center_l2_distance,pair_min_principal_angle_deg,pair_coupled_confusion_score
0,64,0,0,root,,64,225,5.214869626525958,1.858396918550965,0.0,0.0,,,,,
0,64,0,1,extra,1,64,101,5.228945156545724,1.858396918550965,0.1,2.5,34,0.4406294124210086,0.3909034508829833,12.468877545688738,4.556796783305637
0,64,0,2,extra,2,64,82,4.729596872692167,1.858396918550965,0.1,2.5,14,0.32753107183449304,0.5672881814527231,16.66321632403321,1.4166706649391092
0,64,1,0,root,,64,220,5.140939010251784,1.9243300110862396,0.0,0.0,,,,,
0,64,1,1,extra,0,64,95,4.128894511163212,1.9243300110862396,0.1,2.5,34,0.6126500343797705,0.3909034508829833,12.468877545688738,4.556796783305637
0,64,1,2,extra,2,61,84,4.710449144777746,1.9243300110862396,0.1,2.5,23,0.8042608371380091,0.49326280465154854,16.771205709218655,1.6977487302400478
0,64,2,0,root,,64,218,4.929011819970125,2.8359944351411706,0.0,0.0,,,,,
0,64,2,1,extra,3,64,87,4.573254796743007,2.8359944351411706,0.1,2.5,37,1.1873507672290082,0.4417666160266419,22.583311185360344,2.193521537181978
0,64,2,2,extra,0,64,83,5.046749101065394,2.8359944351411706,0.1,2.5,27,1.1484171744912164,0.5672881814527231,16.66321632403321,1.4166706649391092
0,64,3,0,root,,64,241,4.851324308210977,2.564636274798115,0.0,0.0,,,,,
0,64,3,1,extra,2,64,95,4.792148465641247,2.564636274798115,0.1,2.5,30,0.9264809420534457,0.4417666160266419,22.583311185360344,2.193521537181978
0,64,3,2,extra,1,64,88,4.71747809253395,2.564636274798115,0.1,2.5,16,1.0401290405849055,0.6601364550941627,24.132456834443744,0.6355856036590081
0,64,4,0,root,,64,188,4.874437984949505,2.7947501940586132,0.0,0.0,,,,,
0,64,4,1,extra,3,64,75,4.940229250643187,2.7947501940586132,0.1,2.5,21,1.3595377236335384,0.4198904649687054,24.606441835936504,1.1380603236261146
1,64,0,0,root,,64,220,5.140898722495948,1.8631165432415566,0.0,0.0,,,,,
1,64,0,1,extra,1,64,85,4.708026615865928,1.8631165432415566,0.1,2.5,18,0.29603857517803833,0.4530659305448587,12.758037384730132,2.756171901532306
1,64,1,0,root,,64,197,5.047287446622872,2.0784586964852054,0.0,0.0,,,,,
1,64,1,1,extra,0,64,85,5.178821118356877,2.0784586964852054,0.1,2.5,37,0.8773044869358673,0.4530659305448587,12.758037384730132,2.756171901532306
1,64,1,2,extra,2,55,73,4.594508516433949,2.0784586964852054,0.1,2.5,22,1.0654777608723887,0.465548830257064,17.319608960560082,1.1854943952687869
1,64,2,0,root,,64,242,4.923518980369513,2.8226308032299676,0.0,0.0,,,,,
1,64,2,1,extra,3,64,96,4.598199234066251,2.8226308032299676,0.1,2.5,37,1.0672120898931379,0.4531996987831448,22.440010103013524,1.9083192418949608
1,64,2,2,extra,0,64,93,5.128622197765456,2.8226308032299676,0.1,2.5,32,1.059150780756534,0.5364513247704614,16.82105612291732,1.476600928118517
1,64,3,0,root,,64,242,4.809166063919582,2.527512310768295,0.0,0.0,,,,,
1,64,3,1,extra,2,64,98,4.459569331087185,2.527512310768295,0.1,2.5,30,0.9703482017305676,0.4531996987831448,22.440010103013524,1.9083192418949608
1,64,4,0,root,,64,191,4.796472542174727,2.836803561874145,0.0,0.0,,,,,
1,64,4,1,extra,3,64,75,4.66513191862375,2.836803561874145,0.1,2.5,27,1.4671267899367149,0.390399272379783,22.895310591143108,1.7175493244777105
2,64,0,0,root,,64,222,5.179617195693893,1.8530307775354726,0.0,0.0,,,,,
2,64,0,1,extra,1,64,94,4.62476910941779,1.8530307775354726,0.1,2.5,33,0.3203025578348436,0.44701888294192405,12.34356061258433,6.255002271731337
2,64,1,0,root,,64,233,5.037783758547763,1.9798453449333753,0.0,0.0,,,,,
2,64,1,1,extra,0,64,104,4.707153079508373,1.9798453449333753,0.1,2.5,39,0.5518786063630199,0.44701888294192405,12.34356061258433,6.255002271731337
2,64,1,2,extra,2,61,84,4.5592460588789185,1.9798453449333753,0.1,2.5,22,1.0558017206766663,0.5234157042813242,16.394714728767312,2.4020339465345835
2,64,2,0,root,,64,206,4.910290308393141,2.8059212696641853,0.0,0.0,,,,,
2,64,2,1,extra,3,64,83,4.573661278130458,2.8059212696641853,0.1,2.5,29,1.2236823579654272,0.4474082686297373,23.936912769514603,2.9093938176899297
2,64,2,2,extra,1,64,77,5.116141740027844,2.8059212696641853,0.1,2.5,21,1.1937774158302776,0.5234157042813242,16.394714728767312,2.4020339465345835
2,64,3,0,root,,64,251,4.873535838226247,2.3490365603816032,0.0,0.0,,,,,
2,64,3,1,extra,2,64,108,5.011296726592735,2.3490365603816032,0.1,2.5,36,0.8306641605601538,0.4474082686297373,23.936912769514603,2.9093938176899297
2,64,4,0,root,,64,180,4.828712076615582,2.8740254686650335,0.0,0.0,,,,,
2,64,4,1,extra,3,64,71,4.848769125084878,2.8740254686650335,0.1,2.5,25,1.524849806324363,0.3992154065765302,22.796686338211387,2.106891992365255
2,64,4,2,extra,0,62,63,4.589021654402859,2.8740254686650335,0.1,2.5,13,1.4327618129740007,0.8180169315143883,25.579924777302885,0.3207212811101381
3,64,0,0,root,,64,219,5.140476403934836,1.9182662992634536,0.0,0.0,,,,,
3,64,0,1,extra,1,64,97,5.103321225207165,1.9182662992634536,0.1,2.5,30,0.4102970845178344,0.4165790410381496,12.286248437765959,5.149963710882738
3,64,0,2,extra,2,63,82,5.348525999695968,1.9182662992634536,0.1,2.5,15,0.34315455340110956,0.577531562247805,17.03234168849365,1.745803312172716
3,64,1,0,root,,64,218,5.11755466806332,1.9943062570692294,0.0,0.0,,,,,
3,64,1,1,extra,0,64,97,5.00438768054624,1.9943062570692294,0.1,2.5,36,0.7460480781197294,0.4165790410381496,12.286248437765959,5.149963710882738
3,64,1,2,extra,2,55,77,4.579380905223264,1.9943062570692294,0.1,2.5,17,0.9241242141161674,0.5220730808872339,17.75689922272845,1.5508900588042533
3,64,2,0,root,,64,219,4.8972212979043155,2.831460969976613,0.0,0.0,,,,,
3,64,2,1,extra,3,64,87,4.630385139646926,2.831460969976613,0.1,2.5,37,1.1408169434892752,0.4195909722020449,23.11689470631724,3.0468637330640043
3,64,2,2,extra,0,64,85,5.186416386384627,2.831460969976613,0.1,2.5,28,1.1349812012396714,0.577531562247805,17.03234168849365,1.745803312172716
3,64,3,0,root,,64,256,4.835674164485496,2.4179542020025013,0.0,0.0,,,,,
3,64,3,1,extra,2,64,109,4.943923001479546,2.4179542020025013,0.1,2.5,37,0.7815680810285026,0.4195909722020449,23.11689470631724,3.0468637330640043
3,64,4,0,root,,64,180,4.877774996962599,2.7477725571108707,0.0,0.0,,,,,
3,64,4,1,extra,3,64,67,4.5488984918429605,2.7477725571108707,0.1,2.5,22,1.565300969042716,0.41975785959909356,24.098511383801014,1.5397580959445167
3,64,4,2,extra,0,62,63,4.71731371680505,2.7477725571108707,0.1,2.5,11,1.3305972466348135,0.790461191167624,26.985097546263603,0.29956590303008124
4,32,0,0,root,,32,209,5.217525399503182,1.995202220648327,0.0,0.0,,,,,
4,32,0,1,extra,1,32,80,4.8914131828294805,1.995202220648327,0.1,2.5,20,0.2649918492931823,0.4364841328906597,14.401277058330173,5.042882888980156
4,32,1,0,root,,32,246,5.073391036786295,2.311878142699509,0.0,0.0,,,,,
4,32,1,1,extra,0,32,114,5.327981238469085,2.311878142699509,0.1,2.5,48,0.39174060205813355,0.4364841328906597,14.401277058330173,5.042882888980156
4,32,2,0,root,,32,210,4.916042127140702,3.072218223717507,0.0,0.0,,,,,
4,32,2,1,extra,3,32,85,4.740172446374063,3.072218223717507,0.1,2.5,42,0.8384031589334189,0.4265748734822913,25.63367219249706,3.367909638786518
4,32,2,2,extra,0,32,77,5.2458198671139655,3.072218223717507,0.1,2.5,23,0.6591293662787696,0.6021536478731033,17.333615363930544,1.473862263230488
4,32,3,0,root,,32,236,4.8694306642363845,2.661435866142761,0.0,0.0,,,,,
4,32,3,1,extra,2,32,103,4.9934823833259,2.661435866142761,0.1,2.5,37,0.4141494084910917,0.4265748734822913,25.63367219249706,3.367909638786518
4,32,4,0,root,,32,191,4.824066771808983,3.2151198866325936,0.0,0.0,,,,,
4,32,4,1,extra,3,32,77,4.579237609376036,3.2151198866325936,0.1,2.5,27,0.7025820518932528,0.40525095993901317,26.00249423603357,2.1234479142797693
5,64,0,0,root,,64,226,5.152189925075605,1.7436795532326599,0.0,0.0,,,,,
5,64,0,1,extra,1,64,90,3.461592602371111,1.7436795532326599,0.1,2.5,23,0.34092663648691224,0.4379442244359461,12.677546101475949,4.15736340413901
5,64,1,0,root,,64,214,5.127094793956582,2.0798935357435204,0.0,0.0,,,,,
5,64,1,1,extra,0,64,98,5.131995944141532,2.0798935357435204,0.1,2.5,40,0.7659262796134536,0.4379442244359461,12.677546101475949,4.15736340413901
5,64,1,2,extra,2,58,81,4.764913484379849,2.0798935357435204,0.1,2.5,19,0.8387859558426403,0.4937214071142579,17.513816168195635,1.482984939459533
5,64,2,0,root,,64,232,4.918421084924229,2.8551700639645192,0.0,0.0,,,,,
5,64,2,1,extra,3,64,93,4.700892900126473,2.8551700639645192,0.1,2.5,37,1.198528253220069,0.4385836650285002,23.076247808629816,2.4254291752636274
5,64,2,2,extra,0,64,89,5.432672847964323,2.8551700639645192,0.1,2.5,26,1.1683039618479416,0.5874040535279182,16.57928681457977,1.429592476277274
5,64,3,0,root,,64,238,4.859864891186093,2.3472961644188537,0.0,0.0,,,,,
5,64,3,1,extra,2,64,98,4.592554034034395,2.3472961644188537,0.1,2.5,30,0.8490137137166072,0.4385836650285002,23.076247808629816,2.4254291752636274
5,64,3,2,extra,0,64,86,5.090613593912543,2.3472961644188537,0.1,2.5,16,1.3584077127835672,0.7657493266402143,23.012430539177462,0.5613659815138994
5,64,4,0,root,,64,182,4.768452112096779,2.79772200076137,0.0,0.0,,,,,
5,64,4,1,extra,3,64,68,4.402382569636744,2.79772200076137,0.1,2.5,21,1.5175744730293195,0.4137286024212141,23.167424658908708,1.2613978183272478
6,64,0,0,root,,64,212,5.2582260008805095,1.7803521917896974,0.0,0.0,,,,,
6,64,0,1,extra,1,64,92,4.933419514112348,1.7803521917896974,0.1,2.5,27,0.38023614656956606,0.4815222742592458,12.865846841623476,3.909575405422358
6,64,1,0,root,,64,220,5.148650549079944,1.9473578941520373,0.0,0.0,,,,,
6,64,1,1,extra,0,64,100,4.943796183084288,1.9473578941520373,0.1,2.5,39,0.7242175158200792,0.4815222742592458,12.865846841623476,3.909575405422358
6,64,1,2,extra,2,58,79,4.715412922426665,1.9473578941520373,0.1,2.5,19,0.9946055467748849,0.5134479881288032,17.003898455833106,1.6393061373989088
6,64,2,0,root,,64,223,4.9110852260084465,2.7072629645547996,0.0,0.0,,,,,
6,64,2,1,extra,3,64,86,4.598458726943894,2.7072629645547996,0.1,2.5,28,1.2664102938473116,0.46019331414133313,23.95012285274437,1.664801165064675
6,64,2,2,extra,0,64,83,4.945111426336907,2.7072629645547996,0.1,2.5,27,1.1304582632119606,0.6158579456336697,16.415050648792455,1.2705322269777506
6,64,3,0,root,,64,251,4.8635618760180055,2.2599465398739813,0.0,0.0,,,,,
6,64,3,1,extra,2,64,96,4.767274486114417,2.2599465398739813,0.1,2.5,22,0.9390321648566615,0.46019331414133313,23.95012285274437,1.664801165064675
6,64,4,0,root,,64,186,4.794265919081564,2.765662474599182,0.0,0.0,,,,,
6,64,4,1,extra,3,64,76,4.980581603483104,2.765662474599182,0.1,2.5,25,1.4013415726227207,0.42833933353139175,24.143835435011123,1.5613449922320382
7,48,0,0,root,,48,224,5.185409346024979,1.8689345290464492,0.0,0.0,,,,,
7,48,0,1,extra,1,48,93,4.924658759620798,1.8689345290464492,0.1,2.5,28,0.4207022660153079,0.41672198732662,14.627357998828774,3.3400884310383536
7,48,1,0,root,,48,206,5.041075917419417,2.3039230952578897,0.0,0.0,,,,,
7,48,1,1,extra,0,48,94,4.785078836137682,2.3039230952578897,0.1,2.5,36,0.6473839503180563,0.41672198732662,14.627357998828774,3.3400884310383536
7,48,1,2,extra,2,48,76,4.751796506817105,2.3039230952578897,0.1,2.5,20,0.9132848505593558,0.4459408987908487,18.652801840293687,1.6445132301324275
7,48,2,0,root,,48,237,4.945296769211,2.832443156173996,0.0,0.0,,,,,
7,48,2,1,extra,3,48,92,4.3103878017662085,2.832443156173996,0.1,2.5,36,0.9977503790233968,0.48669456301428393,22.580745392876075,1.7367878779732961
7,48,2,2,extra,1,48,87,5.144192340842968,2.832443156173996,0.1,2.5,23,0.8728220347493605,0.4459408987908487,18.652801840293687,1.6445132301324275
7,48,3,0,root,,48,246,4.796557672875866,2.3778222488531,0.0,0.0,,,,,
7,48,3,1,extra,2,48,95,4.392392587344223,2.3778222488531,0.1,2.5,24,0.6318651921121314,0.48669456301428393,22.580745392876075,1.7367878779732961
7,48,3,2,extra,0,48,93,5.153712960022945,2.3778222488531,0.1,2.5,18,1.0319326522785108,0.770300981572562,24.744324044584975,0.41724799693024317
7,48,4,0,root,,48,179,4.841738422452951,2.958819690144109,0.0,0.0,,,,,
7,48,4,1,extra,2,48,71,4.845466112645656,2.958819690144109,0.1,2.5,24,1.3632610716834135,0.41156658412368957,23.185421342252756,1.4668573287549336
8,32,0,0,root,,32,212,5.178182298299976,2.106932181393095,0.0,0.0,,,,,
8,32,0,1,extra,1,32,92,4.923895663966183,2.106932181393095,0.1,2.5,33,0.26029518231152116,0.41952531370130663,14.146682668550387,4.364776426457585
8,32,0,2,extra,3,32,76,4.989893843638201,2.106932181393095,0.1,2.5,15,0.2576923638866707,0.7643136854547344,26.944574184417775,0.3953269900890511
8,32,1,0,root,,32,221,5.074074618868098,2.2050078599534464,0.0,0.0,,,,,
8,32,1,1,extra,0,32,97,5.133646164378808,2.2050078599534464,0.1,2.5,37,0.2617843169618548,0.41952531370130663,14.146682668550387,4.364776426457585
8,32,1,2,extra,2,32,81,4.507470141484019,2.2050078599534464,0.1,2.5,22,0.3746604315842328,0.4852121635587883,17.36598824425027,2.195915214856192
