split,kind,true_class,other_class,count,class_label,branch_debug_index,confuser,seed_size,group_size,median_gain
4,branch_debug,,,,2,0,3,42,85,0.8384031589334189
4,branch_debug,,,,2,1,0,23,77,0.6591293662787696
4,branch_debug,,,,3,0,2,37,103,0.4141494084910917
4,branch_debug,,,,4,0,3,27,77,0.7025820518932528
5,oof_confusion,0,1,23,,,,,,
5,oof_confusion,0,4,6,,,,,,
5,oof_confusion,0,2,12,,,,,,
5,oof_confusion,0,3,11,,,,,,
5,oof_confusion,1,0,40,,,,,,
5,oof_confusion,1,3,16,,,,,,
5,oof_confusion,1,2,19,,,,,,
5,oof_confusion,1,4,8,,,,,,
5,oof_confusion,2,4,19,,,,,,
5,oof_confusion,2,1,16,,,,,,
5,oof_confusion,2,3,37,,,,,,
5,oof_confusion,2,0,26,,,,,,
5,oof_confusion,3,2,30,,,,,,
5,oof_confusion,3,4,12,,,,,,
5,oof_confusion,3,1,9,,,,,,
5,oof_confusion,3,0,16,,,,,,
5,oof_confusion,4,2,18,,,,,,
5,oof_confusion,4,3,21,,,,,,
5,oof_confusion,4,0,10,,,,,,
5,oof_confusion,4,1,5,,,,,,
5,branch_debug,,,,0,0,1,23,90,0.34092663648691224
5,branch_debug,,,,1,0,0,40,98,0.7659262796134536
5,branch_debug,,,,1,1,2,19,81,0.8387859558426403
5,branch_debug,,,,2,0,3,37,93,1.198528253220069
5,branch_debug,,,,2,1,0,26,89,1.1683039618479416
5,branch_debug,,,,3,0,2,30,98,0.8490137137166072
5,branch_debug,,,,3,1,0,16,86,1.3584077127835672
5,branch_debug,,,,4,0,3,21,68,1.5175744730293195
6,oof_confusion,0,4,3,,,,,,
6,oof_confusion,0,1,27,,,,,,
6,oof_confusion,0,2,8,,,,,,
6,oof_confusion,0,3,9,,,,,,
6,oof_confusion,1,2,19,,,,,,
6,oof_confusion,1,3,10,,,,,,
6,oof_confusion,1,0,39,,,,,,
6,oof_confusion,1,4,10,,,,,,
6,oof_confusion,2,4,21,,,,,,
6,oof_confusion,2,3,28,,,,,,
6,oof_confusion,2,1,20,,,,,,
6,oof_confusion,2,0,27,,,,,,
6,oof_confusion,3,1,7,,,,,,
6,oof_confusion,3,2,22,,,,,,
6,oof_confusion,3,4,19,,,,,,
6,oof_confusion,3,0,10,,,,,,
6,oof_confusion,4,2,18,,,,,,
6,oof_confusion,4,3,25,,,,,,
6,oof_confusion,4,1,3,,,,,,
6,oof_confusion,4,0,6,,,,,,
6,branch_debug,,,,0,0,1,27,92,0.38023614656956606
6,branch_debug,,,,1,0,0,39,100,0.7242175158200792
6,branch_debug,,,,1,1,2,19,79,0.9946055467748849
6,branch_debug,,,,2,0,3,28,86,1.2664102938473116
6,branch_debug,,,,2,1,0,27,83,1.1304582632119606
6,branch_debug,,,,3,0,2,22,96,0.9390321648566615
6,branch_debug,,,,4,0,3,25,76,1.4013415726227207
7,oof_confusion,0,1,28,,,,,,
7,oof_confusion,0,2,19,,,,,,
7,oof_confusion,0,4,3,,,,,,
7,oof_confusion,0,3,7,,,,,,
7,oof_confusion,1,0,36,,,,,,
7,oof_confusion,1,2,20,,,,,,
7,oof_confusion,1,3,7,,,,,,
7,oof_confusion,1,4,9,,,,,,
7,oof_confusion,2,4,20,,,,,,
7,oof_confusion,2,1,23,,,,,,
7,oof_confusion,2,3,36,,,,,,
7,oof_confusion,2,0,23,,,,,,
7,oof_confusion,3,0,18,,,,,,
7,oof_confusion,3,1,9,,,,,,
7,oof_confusion,3,4,15,,,,,,
7,oof_confusion,3,2,24,,,,,,
7,oof_confusion,4,2,24,,,,,,
7,oof_confusion,4,0,6,,,,,,
7,oof_confusion,4,1,4,,,,,,
7,oof_confusion,4,3,21,,,,,,
7,branch_debug,,,,0,0,1,28,93,0.4207022660153079
7,branch_debug,,,,1,0,0,36,94,0.6473839503180563
7,branch_debug,,,,1,1,2,20,76,0.9132848505593558
7,branch_debug,,,,2,0,3,36,92,0.9977503790233968
7,branch_debug,,,,2,1,1,23,87,0.8728220347493605
7,branch_debug,,,,3,0,2,24,95,0.6318651921121314
7,branch_debug,,,,3,1,0,18,93,1.0319326522785108
7,branch_debug,,,,4,0,2,24,71,1.3632610716834135
8,oof_confusion,0,3,15,,,,,,
8,oof_confusion,0,2,10,,,,,,
8,oof_confusion,0,1,33,,,,,,
8,oof_confusion,0,4,5,,,,,,
8,oof_confusion,1,0,37,,,,,,
8,oof_confusion,1,3,8,,,,,,
8,oof_confusion,1,2,22,,,,,,
8,oof_confusion,1,4,8,,,,,,
8,oof_confusion,2,0,26,,,,,,
8,oof_confusion,2,4,14,,,,,,
