dataset,split,class,C_c,retained_variance
squirrel,0,0,96,0.6590878449455434
squirrel,0,1,96,0.6505666310404042
squirrel,0,2,96,0.6625651105472989
squirrel,0,3,96,0.6663505404281174
squirrel,0,4,96,0.7075538959315485

