dataset,split,seed,top_k,dim,energy,w,HHI,T,S,C_mean,D,test_acc
amazon-computers,0,20260419,4000,64,0.95,0.6,0.0546182442092598,1.1324095458009782,0.640569395016654,16.4,0.130319951705403,0.7761847268336854
cornell,0,20260419,4000,32,0.9,0.2,0.5776081424926589,2.107826086941859,0.4785373608895413,11.6,0.1351351351351351,0.8108108108108109
squirrel,0,20260419,6000,96,0.95,0.5,0.2875788557751304,1.5859788359725426,0.549476439789713,96.0,0.3659942363112392,0.6013448607108549
texas,0,20260419,4000,32,0.9,0.2,0.4929851909579221,1.4455445544482892,0.4610983981686329,13.25,0.1578947368421053,0.868421052631579
wisconsin,0,20260419,4000,32,0.9,0.2,0.6192619261915044,1.8637820512701035,0.5663909447095056,16.2,0.0980392156862745,0.9019607843137256

