dataset,split,seed,split_policy,grid,method,top_k,dim,energy,alphas_json,w,B_boundary_dominance,train_acc,val_acc,test_acc,I_X,I_PrX,I_Pr2X,I_Pr3X,I_XminusPrX,I_PrXminusPr2X,I_PsX,I_Ps2X,I_XminusPsX,R_raw_dominance,L_lowpass_dominance,H_highpass_dominance,HHI_highpass_heterophily_index,T_twohop_return_index,O_deephop_utility,S_hub_sensitivity,C_mean_class_geometry_complexity,C_std_class_geometry_imbalance,C_min,C_max,A_PR_pca_ridge_agreement,D_geometry_discriminant_conflict,Q_easy,Q_geo_only,Q_boundary_only,Q_hard,SignalEntropy_test_mean,Purity_test_mean,SignalEntropy_correct_mean,SignalEntropy_wrong_mean,Purity_correct_mean,Purity_wrong_mean,Corr_HHI_Mpca,Corr_deg_SymRatio,Corr_deg_error,graph_signal_identity,decision_mechanism_identity,train_acc_pct,val_acc_pct,test_acc_pct,R_raw_dominance_pct,L_lowpass_dominance_pct,H_highpass_dominance_pct,B_boundary_dominance_pct,A_PR_pca_ridge_agreement_pct,D_geometry_discriminant_conflict_pct,Q_easy_pct,Q_geo_only_pct,Q_boundary_only_pct,Q_hard_pct
chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts,fast,src_v16c,6000,96,0.99,"[0.01, 0.1, 1.0]",0.4,0.6,0.9771062271062272,0.720164609053498,0.7368421052631579,0.0005,0.1365,0.2195,0.2166666666666666,0.022,0.0625,0.1236666666666666,0.2018333333333333,0.0168333333333333,0.0005,0.8981666666666667,0.1013333333333333,0.1128224160325335,1.619474695701655,0.6086142322080283,0.520923154957361,94.8,1.7888543819998317,92.0,96.0,0.8464912280701754,0.1535087719298246,0.6776315789473685,0.0460526315789473,0.0570175438596491,0.219298245614035,1.7911386809082546,0.3057907367501046,1.7892709354873293,1.796368368086844,0.3130470962238599,0.2854729302235899,0.1585068844462212,0.2986736293079537,0.1321204710725202,low-pass-dominant,balanced-geometry-boundary,97.71062271062272,72.0164609053498,73.68421052631578,0.05,89.81666666666666,10.133333333333331,60.0,84.64912280701753,15.350877192982459,67.76315789473685,4.60526315789473,5.70175438596491,21.9298245614035
amazon-computers,0,20260419,class_balanced_random_20_train_30_val_per_class,fast,src_v16c,4000,64,0.95,"[0.05, 0.5, 5.0]",0.6,0.4,1.0,0.8533333333333334,0.7761847268336854,0.078,0.164,0.185,0.18175,0.02525,0.006,0.16075,0.18275,0.0165,0.078,0.87425,0.04775,0.0546182442092598,1.1324095458009782,0.5207736389669892,0.640569395016654,16.4,0.5163977794943222,16.0,17.0,0.869680048294597,0.130319951705403,0.7220042257772412,0.041729550256565,0.0548596438273468,0.1814065801388469,1.9247593742810245,0.2422437714853309,1.9416611430167123,1.866144541774185,0.2383178700984441,0.2558586810151749,-0.8419688269279709,-0.0287671542667241,-0.0259414301483761,low-pass-dominant,balanced-geometry-boundary,100.0,85.33333333333334,77.61847268336854,7.8,87.425,4.775,40.0,86.9680048294597,13.0319951705403,72.20042257772413,4.1729550256565,5.4859643827346805,18.14065801388469
amazon-photo,0,20260419,class_balanced_random_20_train_30_val_per_class,fast,src_v16c,4000,64,0.95,"[0.01, 0.1, 1.0]",0.4,0.6,1.0,0.925,0.8873103448275862,0.074,0.15725,0.18075,0.18075,0.04325,0.019,0.1475,0.18025,0.01725,0.074,0.8464999999999999,0.0795,0.0939161252213893,1.184577522555588,0.5347633136078854,0.5938037865738489,16.625,0.7440238091428449,15.0,17.0,0.9162758620689656,0.0837241379310345,0.8463448275862069,0.0259310344827586,0.0417931034482758,0.0859310344827586,1.9092355946266268,0.2400617271441154,1.921413273140174,1.813349418521792,0.2375566963969836,0.2597861614113101,-0.7779493003286468,-0.0211466998556001,-0.0042866870339921,low-pass-dominant,balanced-geometry-boundary,100.0,92.5,88.73103448275862,7.3999999999999995,84.64999999999999,7.95,60.0,91.62758620689657,8.372413793103451,84.63448275862069,2.5931034482758597,4.17931034482758,8.59310344827586
cornell,0,20260419,random_stratified_matching_fixed_split0_class_counts,default,src_v16c,4000,32,0.9,"[0.01, 0.1, 1.0]",0.2,0.8,1.0,0.7796610169491526,0.8108108108108109,0.07,0.07925,0.15375,0.14275,0.09675,0.1565,0.0645,0.14925,0.08725,0.07,0.5894999999999999,0.3404999999999999,0.5776081424926589,2.107826086941859,0.6126609442033791,0.4785373608895413,11.6,5.9833101206606365,6.0,21.0,0.8648648648648649,0.1351351351351351,0.7567567567567568,0.027027027027027,0.054054054054054,0.1621621621621621,2.169521878245682,0.1453793362686158,2.171879830858886,2.15941636704624,0.1436422502367934,0.1528239906907122,0.2909405868698805,0.1256599572630474,-0.08414620292201,low-pass-dominant,boundary-dominant,100.0,77.96610169491525,81.08108108108108,7.000000000000001,58.94999999999999,34.04999999999999,80.0,86.48648648648648,13.513513513513509,75.67567567567568,2.7027027027027,5.4054054054054,16.21621621621621
squirrel,0,20260419,random_stratified_matching_fixed_split0_class_counts,fast,src_v16c,6000,96,0.95,"[0.01, 0.1, 1.0]",0.5,0.5,0.9855769230769232,0.5859375,0.6013448607108549,0.0135,0.1295,0.2081666666666666,0.1145,0.0733333333333333,0.1111666666666666,0.1225,0.1915,0.0358333333333333,0.0135,0.7661666666666667,0.2203333333333333,0.2875788557751304,1.5859788359725426,0.3390918065142969,0.549476439789713,96.0,0.0,96.0,96.0,0.6340057636887608,0.3659942363112392,0.4543707973102786,0.1143131604226705,0.1296829971181556,0.3016330451488953,2.01333018987923,0.2155829241512494,2.012892130411194,2.013990973558725,0.2158140553785893,0.2152342780107317,-0.0852948179191007,0.3108093664006146,0.1323698813414577,low-pass-dominant,balanced-geometry-boundary,98.55769230769232,58.59375,60.13448607108549,1.35,76.61666666666666,22.03333333333333,50.0,63.40057636887608,36.59942363112392,45.43707973102786,11.431316042267051,12.96829971181556,30.16330451488953
texas,0,20260419,random_stratified_matching_fixed_split0_class_counts,default,src_v16c,4000,32,0.9,"[0.01, 0.1, 1.0]",0.2,0.8,1.0,0.8620689655172413,0.868421052631579,0.04225,0.1155,0.14975,0.1475,0.08725,0.1555,0.0865,0.14225,0.0735,0.04225,0.6415,0.31625,0.4929851909579221,1.4455445544482892,0.5560791705916831,0.4610983981686329,13.25,8.5,5.0,25.0,0.8421052631578947,0.1578947368421053,0.7368421052631579,0.0,0.131578947368421,0.131578947368421,2.1408422583094064,0.1666487087656772,2.1374266522976746,2.1633852579868345,0.1688721329685746,0.1519741090265544,0.4185305091360597,-0.0299198350385364,0.1251467059163544,low-pass-dominant,boundary-dominant,100.0,86.20689655172413,86.8421052631579,4.2250000000000005,64.14999999999999,31.624999999999996,80.0,84.21052631578947,15.789473684210531,73.68421052631578,0.0,13.157894736842099,13.157894736842099
wisconsin,0,20260419,random_stratified_matching_fixed_split0_class_counts,default,src_v16c,4000,32,0.9,"[0.05, 0.5, 5.0]",0.2,0.8,1.0,0.8625,0.9019607843137256,0.1005,0.08575,0.1425,0.10875,0.11725,0.12,0.07025,0.14825,0.10675,0.1005,0.5555,0.344,0.6192619261915044,1.8637820512701035,0.4764512595817022,0.5663909447095056,16.2,11.541230437002808,3.0,31.0,0.9019607843137256,0.0980392156862745,0.803921568627451,0.0,0.0784313725490196,0.1176470588235294,2.161890739794262,0.1591318615562358,2.16123234518241,2.1679479702233047,0.1591789282804755,0.1586988476932304,-0.1198745894019586,0.263176542912731,0.1252979260522815,low-pass-dominant,boundary-dominant,100.0,86.25,90.19607843137256,10.05,55.55,34.4,80.0,90.19607843137256,9.80392156862745,80.3921568627451,0.0,7.8431372549019605,11.76470588235294

