dataset,split,class_a,class_b,O_ab,Conf_ab,Conf_ba,ConfPair_ab
amazon-computers,0,7,3,0.0605000841151612,0.0143229166666666,0.0101626016260162,0.0244855182926829
amazon-computers,0,7,4,0.0692642923908559,0.0,0.0050900548159749,0.0050900548159749
amazon-computers,0,7,5,0.0773862009265236,0.0,0.0,0.0
amazon-computers,0,7,6,0.0828143960090595,0.0065104166666666,0.0,0.0065104166666666
amazon-computers,0,7,8,0.0653923979001095,0.0013020833333333,0.0080721747388414,0.0093742580721747
amazon-computers,0,7,9,0.0764759533165709,0.0,0.0,0.0
amazon-computers,0,8,0,0.0676609103805375,0.0023741690408357,0.0077720207253886,0.0101461897662243
amazon-computers,0,8,1,0.080439231816788,0.0280151946818613,0.0348948374760994,0.0629100321579607
amazon-computers,0,8,2,0.0687904768144491,0.0028490028490028,0.0,0.0028490028490028
amazon-computers,0,8,3,0.0769215167638035,0.0318138651471984,0.0060975609756097,0.0379114261228082
amazon-computers,0,8,4,0.103217264641841,0.0446343779677113,0.0601018010963195,0.1047361790640308
amazon-computers,0,8,5,0.0694772403106178,0.0028490028490028,0.0,0.0028490028490028
amazon-computers,0,8,6,0.0962725123483072,0.4306742640075973,0.0892448512585812,0.5199191152661786
amazon-computers,0,8,7,0.0653923979001095,0.0080721747388414,0.0013020833333333,0.0093742580721747
amazon-computers,0,8,9,0.070251821093877,0.0037986704653371,0.0248962655601659,0.0286949360255031
amazon-computers,0,9,0,0.0536615762460826,0.0,0.0,0.0
amazon-computers,0,9,1,0.0665833181079977,0.0,0.0,0.0
amazon-computers,0,9,2,0.0687948251955128,0.0,0.0,0.0
amazon-computers,0,9,3,0.0690254026623817,0.0331950207468879,0.0020325203252032,0.0352275410720912
amazon-computers,0,9,4,0.0672595044064909,0.0,0.0058731401722787,0.0058731401722787
amazon-computers,0,9,5,0.0762760435424888,0.0,0.003875968992248,0.003875968992248
amazon-computers,0,9,6,0.0799091126906714,0.0248962655601659,0.0022883295194508,0.0271845950796167
amazon-computers,0,9,7,0.0764759533165709,0.0,0.0,0.0
amazon-computers,0,9,8,0.070251821093877,0.0248962655601659,0.0037986704653371,0.0286949360255031
cornell,0,0,1,0.1031412025148468,0.0,0.0,0.0
cornell,0,0,2,0.0959016551918717,0.0,0.0,0.0
cornell,0,0,3,0.1862365070414564,0.1,0.0,0.1
cornell,0,0,4,0.0571734316850902,0.0,0.0,0.0
cornell,0,1,0,0.1031412025148468,0.0,0.0,0.0
cornell,0,1,2,0.1497989060241713,0.2,0.0,0.2
cornell,0,1,3,0.2605357589226681,0.6,0.0,0.6
cornell,0,1,4,0.0659500949028149,0.2,0.0,0.2
cornell,0,2,0,0.0959016551918717,0.0,0.0,0.0
cornell,0,2,1,0.1497989060241713,0.0,0.2,0.2
cornell,0,2,3,0.1647427089450439,0.0,0.0,0.0
cornell,0,2,4,0.0612520842764362,0.0,0.0,0.0
cornell,0,3,0,0.1862365070414564,0.0,0.1,0.1
cornell,0,3,1,0.2605357589226681,0.0,0.6,0.6
cornell,0,3,2,0.1647427089450439,0.0,0.0,0.0
cornell,0,3,4,0.1334642814676651,0.0666666666666666,0.0,0.0666666666666666
cornell,0,4,0,0.0571734316850902,0.0,0.0,0.0
cornell,0,4,1,0.0659500949028149,0.0,0.2,0.2
cornell,0,4,2,0.0612520842764362,0.0,0.0,0.0
cornell,0,4,3,0.1334642814676651,0.0,0.0666666666666666,0.0666666666666666
squirrel,0,0,1,0.3085382334566929,0.1690140845070422,0.2184466019417475,0.3874606864487898
squirrel,0,0,2,0.2827036118827818,0.1267605633802817,0.0976744186046511,0.2244349819849328
squirrel,0,0,3,0.2642610515143578,0.107981220657277,0.0497512437810945,0.1577324644383715
squirrel,0,0,4,0.2235200947532926,0.028169014084507,0.0194174757281553,0.0475864898126623
squirrel,0,1,0,0.3085382334566929,0.2184466019417475,0.1690140845070422,0.3874606864487898
squirrel,0,1,2,0.2757003788860885,0.1407766990291262,0.1162790697674418,0.257055768796568
squirrel,0,1,3,0.2615940553151362,0.1116504854368932,0.0597014925373134,0.1713519779742066
squirrel,0,1,4,0.2414130328370947,0.0533980582524271,0.0679611650485436,0.1213592233009708
squirrel,0,2,0,0.2827036118827818,0.0976744186046511,0.1267605633802817,0.2244349819849328
squirrel,0,2,1,0.2757003788860885,0.1162790697674418,0.1407766990291262,0.257055768796568
squirrel,0,2,3,0.2589346831306771,0.1767441860465116,0.1144278606965174,0.291172046743029
squirrel,0,2,4,0.2480827840002466,0.0883720930232558,0.0388349514563106,0.1272070444795665
squirrel,0,3,0,0.2642610515143578,0.0497512437810945,0.107981220657277,0.1577324644383715
squirrel,0,3,1,0.2615940553151362,0.0597014925373134,0.1116504854368932,0.1713519779742066
squirrel,0,3,2,0.2589346831306771,0.1144278606965174,0.1767441860465116,0.291172046743029
squirrel,0,3,4,0.2486902742589069,0.099502487562189,0.1019417475728155,0.2014442351350046
squirrel,0,4,0,0.2235200947532926,0.0194174757281553,0.028169014084507,0.0475864898126623
squirrel,0,4,1,0.2414130328370947,0.0679611650485436,0.0533980582524271,0.1213592233009708
squirrel,0,4,2,0.2480827840002466,0.0388349514563106,0.0883720930232558,0.1272070444795665
squirrel,0,4,3,0.2486902742589069,0.1019417475728155,0.099502487562189,0.2014442351350046
texas,0,0,2,0.1257118850450506,0.0,0.25,0.25
texas,0,0,3,0.2121241635173095,0.0,0.0,0.0
texas,0,0,4,0.15657819454504,0.0,0.0,0.0
texas,0,2,0,0.1257118850450507,0.25,0.0,0.25
texas,0,2,3,0.2079425967178357,0.25,0.0,0.25
texas,0,2,4,0.1604646369302259,0.0,0.0,0.0
texas,0,3,0,0.2121241635173095,0.0,0.0,0.0
texas,0,3,2,0.2079425967178357,0.0,0.25,0.25
texas,0,3,4,0.2607619087266208,0.0416666666666666,0.2,0.2416666666666666
texas,0,4,0,0.15657819454504,0.0,0.0,0.0
texas,0,4,2,0.1604646369302259,0.0,0.0,0.0
texas,0,4,3,0.2607619087266209,0.2,0.0416666666666666,0.2416666666666666
wisconsin,0,0,1,0.1624185626355037,0.0,0.0,0.0
wisconsin,0,0,2,0.3534154149526506,1.0,0.0,1.0
wisconsin,0,0,3,0.1073394223894487,0.0,0.0,0.0
wisconsin,0,0,4,0.1461878731606492,0.0,0.0,0.0
wisconsin,0,1,0,0.1624185626355037,0.0,0.0,0.0
wisconsin,0,1,2,0.2046655849981624,0.0,0.037037037037037,0.037037037037037
wisconsin,0,1,3,0.1714857475952541,0.0833333333333333,0.0,0.0833333333333333
wisconsin,0,1,4,0.1369861396674108,0.0,0.0,0.0
wisconsin,0,2,0,0.3534154149526506,0.0,1.0,1.0
wisconsin,0,2,1,0.2046655849981624,0.037037037037037,0.0,0.037037037037037
wisconsin,0,2,3,0.2129029729640225,0.0,0.125,0.125
wisconsin,0,2,4,0.2201703160936059,0.0,0.3333333333333333,0.3333333333333333
wisconsin,0,3,0,0.1073394223894487,0.0,0.0,0.0
wisconsin,0,3,1,0.1714857475952541,0.0,0.0833333333333333,0.0833333333333333
wisconsin,0,3,2,0.2129029729640226,0.125,0.0,0.125
wisconsin,0,3,4,0.0996772101982116,0.0,0.0,0.0
wisconsin,0,4,0,0.1461878731606492,0.0,0.0,0.0
wisconsin,0,4,1,0.1369861396674108,0.0,0.0,0.0
wisconsin,0,4,2,0.2201703160936059,0.3333333333333333,0.0,0.3333333333333333
wisconsin,0,4,3,0.0996772101982117,0.0,0.0,0.0

