dataset,split,seed,split_policy,grid,method,top_k,dim,energy,alphas_json,w,B_boundary_dominance,train_acc,val_acc,test_acc,I_X,I_PrX,I_Pr2X,I_Pr3X,I_XminusPrX,I_PrXminusPr2X,I_PsX,I_Ps2X,I_XminusPsX,R_raw_dominance,L_lowpass_dominance,H_highpass_dominance,HHI_highpass_heterophily_index,T_twohop_return_index,O_deephop_utility,S_hub_sensitivity,C_mean_class_geometry_complexity,C_std_class_geometry_imbalance,C_min,C_max,A_PR_pca_ridge_agreement,D_geometry_discriminant_conflict,Q_easy,Q_geo_only,Q_boundary_only,Q_hard,SignalEntropy_test_mean,Purity_test_mean,SignalEntropy_correct_mean,SignalEntropy_wrong_mean,Purity_correct_mean,Purity_wrong_mean,Corr_HHI_Mpca,Corr_deg_SymRatio,Corr_deg_error,graph_signal_identity,decision_mechanism_identity
amazon-computers,0,20260419,class_balanced_random_20_train_30_val_per_class,fast,src_v16c,4000,64,0.95,"[0.05, 0.5, 5.0]",0.6,0.4,1.0,0.8533333333333334,0.7761847268336854,0.078,0.164,0.185,0.18175,0.02525,0.006,0.16075,0.18275,0.0165,0.078,0.87425,0.04775,0.0546182442092598,1.1324095458009782,0.5207736389669892,0.640569395016654,16.4,0.5163977794943222,16.0,17.0,0.869680048294597,0.130319951705403,0.7220042257772412,0.041729550256565,0.0548596438273468,0.1814065801388469,1.9247593742810245,0.2422437714853309,1.9416611430167123,1.866144541774185,0.2383178700984441,0.2558586810151749,-0.8419688269279709,-0.0287671542667241,-0.0259414301483761,low-pass-dominant,balanced-geometry-boundary
cornell,0,20260419,random_stratified_matching_fixed_split0_class_counts,default,src_v16c,4000,32,0.9,"[0.01, 0.1, 1.0]",0.2,0.8,1.0,0.7796610169491526,0.8108108108108109,0.07,0.07925,0.15375,0.14275,0.09675,0.1565,0.0645,0.14925,0.08725,0.07,0.5894999999999999,0.3404999999999999,0.5776081424926589,2.107826086941859,0.6126609442033791,0.4785373608895413,11.6,5.9833101206606365,6.0,21.0,0.8648648648648649,0.1351351351351351,0.7567567567567568,0.027027027027027,0.054054054054054,0.1621621621621621,2.169521878245682,0.1453793362686158,2.171879830858886,2.15941636704624,0.1436422502367934,0.1528239906907122,0.2909405868698805,0.1256599572630474,-0.08414620292201,low-pass-dominant,boundary-dominant
squirrel,0,20260419,random_stratified_matching_fixed_split0_class_counts,fast,src_v16c,6000,96,0.95,"[0.01, 0.1, 1.0]",0.5,0.5,0.9855769230769232,0.5859375,0.6013448607108549,0.0135,0.1295,0.2081666666666666,0.1145,0.0733333333333333,0.1111666666666666,0.1225,0.1915,0.0358333333333333,0.0135,0.7661666666666667,0.2203333333333333,0.2875788557751304,1.5859788359725426,0.3390918065142969,0.549476439789713,96.0,0.0,96.0,96.0,0.6340057636887608,0.3659942363112392,0.4543707973102786,0.1143131604226705,0.1296829971181556,0.3016330451488953,2.01333018987923,0.2155829241512494,2.012892130411194,2.013990973558725,0.2158140553785893,0.2152342780107317,-0.0852948179191007,0.3108093664006146,0.1323698813414577,low-pass-dominant,balanced-geometry-boundary
texas,0,20260419,random_stratified_matching_fixed_split0_class_counts,default,src_v16c,4000,32,0.9,"[0.01, 0.1, 1.0]",0.2,0.8,1.0,0.8620689655172413,0.868421052631579,0.04225,0.1155,0.14975,0.1475,0.08725,0.1555,0.0865,0.14225,0.0735,0.04225,0.6415,0.31625,0.4929851909579221,1.4455445544482892,0.5560791705916831,0.4610983981686329,13.25,8.5,5.0,25.0,0.8421052631578947,0.1578947368421053,0.7368421052631579,0.0,0.131578947368421,0.131578947368421,2.1408422583094064,0.1666487087656772,2.1374266522976746,2.1633852579868345,0.1688721329685746,0.1519741090265544,0.4185305091360597,-0.0299198350385364,0.1251467059163544,low-pass-dominant,boundary-dominant
wisconsin,0,20260419,random_stratified_matching_fixed_split0_class_counts,default,src_v16c,4000,32,0.9,"[0.05, 0.5, 5.0]",0.2,0.8,1.0,0.8625,0.9019607843137256,0.1005,0.08575,0.1425,0.10875,0.11725,0.12,0.07025,0.14825,0.10675,0.1005,0.5555,0.344,0.6192619261915044,1.8637820512701035,0.4764512595817022,0.5663909447095056,16.2,11.541230437002808,3.0,31.0,0.9019607843137256,0.0980392156862745,0.803921568627451,0.0,0.0784313725490196,0.1176470588235294,2.161890739794262,0.1591318615562358,2.16123234518241,2.1679479702233047,0.1591789282804755,0.1586988476932304,-0.1198745894019586,0.263176542912731,0.1252979260522815,low-pass-dominant,boundary-dominant

