split,kind,true_class,other_class,count,class_label,branch_debug_index,confuser,seed_size,group_size,median_gain
4,branch_debug,,,,2,0,3,42,85,0.8339811163104871
4,branch_debug,,,,2,1,0,23,77,0.6580870268688095
4,branch_debug,,,,3,0,2,37,103,0.4208120915402511
4,branch_debug,,,,4,0,3,27,77,0.7033468443489612
5,oof_confusion,0,1,23,,,,,,
5,oof_confusion,0,4,6,,,,,,
5,oof_confusion,0,2,12,,,,,,
5,oof_confusion,0,3,11,,,,,,
5,oof_confusion,1,0,40,,,,,,
5,oof_confusion,1,3,16,,,,,,
5,oof_confusion,1,2,19,,,,,,
5,oof_confusion,1,4,8,,,,,,
5,oof_confusion,2,4,19,,,,,,
5,oof_confusion,2,1,16,,,,,,
5,oof_confusion,2,3,37,,,,,,
5,oof_confusion,2,0,26,,,,,,
5,oof_confusion,3,2,30,,,,,,
5,oof_confusion,3,4,12,,,,,,
5,oof_confusion,3,1,9,,,,,,
5,oof_confusion,3,0,16,,,,,,
5,oof_confusion,4,2,18,,,,,,
5,oof_confusion,4,3,21,,,,,,
5,oof_confusion,4,0,10,,,,,,
5,oof_confusion,4,1,5,,,,,,
5,branch_debug,,,,0,0,1,23,90,0.34129510064563373
5,branch_debug,,,,1,0,0,40,98,0.7687572751960594
5,branch_debug,,,,1,1,2,19,81,0.8390404078084792
5,branch_debug,,,,2,0,3,37,93,1.2001358058263434
5,branch_debug,,,,2,1,0,26,89,1.175243920110077
5,branch_debug,,,,3,0,2,30,98,0.849486598296449
5,branch_debug,,,,3,1,0,16,86,1.3580904459588514
5,branch_debug,,,,4,0,3,21,68,1.523911498997642
6,oof_confusion,0,4,2,,,,,,
6,oof_confusion,0,1,27,,,,,,
6,oof_confusion,0,2,10,,,,,,
6,oof_confusion,0,3,13,,,,,,
6,oof_confusion,1,2,23,,,,,,
6,oof_confusion,1,3,14,,,,,,
6,oof_confusion,1,0,31,,,,,,
6,oof_confusion,1,4,10,,,,,,
6,oof_confusion,2,4,24,,,,,,
6,oof_confusion,2,3,28,,,,,,
6,oof_confusion,2,1,26,,,,,,
6,oof_confusion,2,0,30,,,,,,
6,oof_confusion,3,1,11,,,,,,
6,oof_confusion,3,0,12,,,,,,
6,oof_confusion,3,4,24,,,,,,
6,oof_confusion,3,2,21,,,,,,
6,oof_confusion,4,2,16,,,,,,
6,oof_confusion,4,3,33,,,,,,
6,oof_confusion,4,0,6,,,,,,
6,oof_confusion,4,1,4,,,,,,
6,branch_debug,,,,1,0,0,31,95,0.2979203141544948
6,branch_debug,,,,1,1,2,23,81,0.2366215894915107
6,branch_debug,,,,2,0,0,30,86,0.46591335958001545
6,branch_debug,,,,2,1,3,28,85,0.5499919962965647
6,branch_debug,,,,3,0,2,21,93,0.3067780386672918
6,branch_debug,,,,4,0,3,33,79,0.48655794004948305
7,oof_confusion,0,1,26,,,,,,
7,oof_confusion,0,2,16,,,,,,
7,oof_confusion,0,4,1,,,,,,
7,oof_confusion,0,3,8,,,,,,
7,oof_confusion,1,0,39,,,,,,
7,oof_confusion,1,3,10,,,,,,
7,oof_confusion,1,2,24,,,,,,
7,oof_confusion,1,4,10,,,,,,
7,oof_confusion,2,4,21,,,,,,
7,oof_confusion,2,1,21,,,,,,
7,oof_confusion,2,3,34,,,,,,
7,oof_confusion,2,0,25,,,,,,
7,oof_confusion,3,0,15,,,,,,
7,oof_confusion,3,1,9,,,,,,
7,oof_confusion,3,4,14,,,,,,
7,oof_confusion,3,2,25,,,,,,
7,oof_confusion,4,2,25,,,,,,
7,oof_confusion,4,0,6,,,,,,
7,oof_confusion,4,1,4,,,,,,
7,oof_confusion,4,3,22,,,,,,
7,branch_debug,,,,1,0,0,39,96,0.4423964815518533
7,branch_debug,,,,1,1,2,24,77,0.25650365080144155
7,branch_debug,,,,2,0,3,34,91,0.6402689362696918
7,branch_debug,,,,2,1,0,25,88,0.6551908515210737
7,branch_debug,,,,3,0,2,25,96,0.27742803307080677
7,branch_debug,,,,3,1,0,15,91,0.6285089325079665
7,branch_debug,,,,4,0,2,25,72,0.7089271496446421
8,oof_confusion,0,3,15,,,,,,
8,oof_confusion,0,2,10,,,,,,
8,oof_confusion,0,1,33,,,,,,
8,oof_confusion,0,4,5,,,,,,
8,oof_confusion,1,0,37,,,,,,
8,oof_confusion,1,3,8,,,,,,
8,oof_confusion,1,2,22,,,,,,
8,oof_confusion,1,4,8,,,,,,
8,oof_confusion,2,0,26,,,,,,
8,oof_confusion,2,4,14,,,,,,
8,oof_confusion,2,1,28,,,,,,
8,oof_confusion,2,3,32,,,,,,
8,oof_confusion,3,4,22,,,,,,
8,oof_confusion,3,2,28,,,,,,
8,oof_confusion,3,0,7,,,,,,
8,oof_confusion,3,1,8,,,,,,
8,oof_confusion,4,3,37,,,,,,
8,oof_confusion,4,2,21,,,,,,
8,oof_confusion,4,0,10,,,,,,
8,oof_confusion,4,1,7,,,,,,
8,branch_debug,,,,0,0,1,33,92,0.2604351600336279
8,branch_debug,,,,0,1,3,15,76,0.2579871879916348
8,branch_debug,,,,1,0,0,37,97,0.27869728207787947
8,branch_debug,,,,1,1,2,22,81,0.3766808748966275
8,branch_debug,,,,2,0,3,32,86,0.5748443420868298
8,branch_debug,,,,2,1,1,28,90,0.5119625817535605
8,branch_debug,,,,3,0,2,28,103,0.4521995347077046
8,branch_debug,,,,4,0,3,37,79,0.4931487016042775
9,oof_confusion,0,3,13,,,,,,
9,oof_confusion,0,2,20,,,,,,
9,oof_confusion,0,1,25,,,,,,
9,oof_confusion,0,4,4,,,,,,
9,oof_confusion,1,0,35,,,,,,
9,oof_confusion,1,2,28,,,,,,
9,oof_confusion,1,3,14,,,,,,
9,oof_confusion,1,4,2,,,,,,
9,oof_confusion,2,1,26,,,,,,
9,oof_confusion,2,4,22,,,,,,
9,oof_confusion,2,0,25,,,,,,
9,oof_confusion,2,3,28,,,,,,
9,oof_confusion,3,2,28,,,,,,
9,oof_confusion,3,4,20,,,,,,
9,oof_confusion,3,0,18,,,,,,
9,oof_confusion,3,1,7,,,,,,
9,oof_confusion,4,3,23,,,,,,
9,oof_confusion,4,1,5,,,,,,
9,oof_confusion,4,2,16,,,,,,
9,oof_confusion,4,0,8,,,,,,
9,branch_debug,,,,0,0,1,25,95,0.27496911065206975
9,branch_debug,,,,0,1,2,20,84,0.3310167934229813
9,branch_debug,,,,1,0,0,35,102,0.38898755421722364
9,branch_debug,,,,1,1,2,28,90,0.6452006207753247
9,branch_debug,,,,2,0,3,28,86,1.0030908327795691
9,branch_debug,,,,2,1,1,26,87,0.828670821047488
9,branch_debug,,,,3,0,2,28,97,0.6656705562967895
9,branch_debug,,,,3,1,0,18,85,1.0134674491547593
9,branch_debug,,,,4,0,3,23,64,1.562776490754826


