dataset,method,n,val_mean,val_std,test_mean,test_std
amazon-computers,src_v16c,2,0.8600000000000001,0.009428090415820576,0.7905221853305161,0.020276228256179286
amazon-photo,src_v16c,2,0.9333333333333333,0.01178511301977575,0.8897931034482758,0.0035111509134780473
chameleon,src_v16c,2,0.7133058984910837,0.009699681497757861,0.7335526315789473,0.004652018297279893
cornell,src_v16c,2,0.771186440677966,0.035954582094231254,0.7162162162162162,0.13377695860286037
squirrel,src_v16c,2,0.5973557692307692,0.016147871204981276,0.6071085494716618,0.008151086814830505
texas,src_v16c,2,0.8620689655172413,0.0,0.881578947368421,0.01860807318911969
wisconsin,src_v16c,2,0.8500000000000001,0.017677669529663664,0.8627450980392157,0.02772967769359012

