top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc_shadow_not_for_selection,val_bal_acc,objective,num_selected_features,dataset,repeat,seed,split_policy
6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9771062271062271,0.710562414266118,0.7412280701754386,0.7162190451516295,0.710562414266118,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,64,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9771062271062271,0.710562414266118,0.7368421052631579,0.7151225634371702,0.710562414266118,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9771062271062271,0.7050754458161865,0.7368421052631579,0.7091882950029019,0.7050754458161865,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,64,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9468864468864469,0.6886145404663924,0.7171052631578947,0.6938273577318521,0.6886145404663924,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,64,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.9459706959706959,0.6858710562414266,0.7192982456140351,0.6911246550291494,0.6858710562414266,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,64,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.9441391941391941,0.6899862825788752,0.7171052631578947,0.6940610786116405,0.6899862825788752,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,64,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9771062271062271,0.710562414266118,0.7368421052631579,0.7162190451516295,0.710562414266118,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,64,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9771062271062271,0.7091906721536351,0.7368421052631579,0.7137712120858188,0.7091906721536351,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,64,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9771062271062271,0.710562414266118,0.7368421052631579,0.7146882005028073,0.710562414266118,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
6000,64,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.9487179487179487,0.6886145404663924,0.7171052631578947,0.6938273577318521,0.6886145404663924,6000,chameleon,0,20260419,random_stratified_matching_fixed_split0_class_counts
