dataset,method,n,val_mean,val_std,test_mean,test_std,time_mean
amazon-computers,appnp,10,0.7150000095367431,0.03954213224875103,0.6756187796592712,0.039354598944772674,208.4961
amazon-computers,correct_smooth,10,0.8473333358764649,0.01871159521898533,0.763537585735321,0.021734331029821956,75.3398
amazon-computers,gat,10,0.7476666629314422,0.05135329801283589,0.6972985208034516,0.05122531197081709,216.70149999999998
amazon-computers,gcnii,10,0.33233333081007005,0.11832211409962932,0.2730304859578609,0.14797902874806876,404.2063
amazon-computers,graphsage,10,0.8550000011920929,0.023946958516839256,0.7745849609375,0.018749279172171493,142.98
amazon-computers,linkx,10,0.662666666507721,0.02900829857932957,0.48942801356315613,0.07139963338205689,22.463
amazon-computers,mlp_prop,10,0.7189999878406524,0.03675243670583425,0.6739662051200866,0.039524558665832314,120.94369999999999
amazon-computers,sign,10,0.8366666674613953,0.02581988829072993,0.7481210410594941,0.017871346947020195,28.7365
amazon-photo,appnp,10,0.8370833456516266,0.040035188450179095,0.8300689578056335,0.021305167247424615,96.94269999999999
amazon-photo,correct_smooth,10,0.899999988079071,0.014958797157013547,0.8624413788318634,0.02355442022953038,45.950599999999994
amazon-photo,gat,10,0.8666666746139526,0.021063522812383325,0.8463310301303864,0.02629164926442823,120.6087
amazon-photo,gcnii,10,0.6129166692495346,0.13734488980920334,0.5747724145650863,0.1520732106083785,261.7013
amazon-photo,graphsage,10,0.9099999964237213,0.012453632363743332,0.87586207985878,0.013272796053659441,59.9011
amazon-photo,linkx,10,0.7350000023841858,0.03987829454768596,0.6420965492725372,0.031594378637346605,12.0389
amazon-photo,mlp_prop,10,0.8462499916553498,0.03729107624524636,0.8358620762825012,0.028982160705193806,55.83820000000001
amazon-photo,sign,10,0.8841666638851166,0.023471800441709132,0.8423586249351501,0.020760390270286887,13.523500000000002
chameleon,appnp,10,0.4602194756269455,0.012375277141215944,0.4554824560880661,0.024355385535816773,52.0924
chameleon,correct_smooth,10,0.4894375890493393,0.01416433673686759,0.48179824352264405,0.03576720740282697,8.3361
