dataset,repeat,split_id,seed,split_policy,method,num_nodes,num_features,num_classes,train_size,val_size,test_size,lr,weight_decay,hidden_channels,dropout,train_acc,val_acc,test_acc,best_epoch,time_sec,params,selection_rule
amazon-photo,2,0,2,class_balanced_random_split_seed,mlp_prop,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.8187500238418579,0.7916666865348816,0.8411034345626831,220,75.275,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,2,0,2,class_balanced_random_split_seed,sign,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.981249988079071,0.9041666388511658,0.8459310531616211,165,18.408,191304,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,3,0,3,class_balanced_random_split_seed,gat,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.949999988079071,0.8916666507720947,0.8586207032203674,190,212.639,193560,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,3,0,3,class_balanced_random_split_seed,graphsage,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.9333333373069763,0.876827597618103,150,83.377,96456,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,3,0,3,class_balanced_random_split_seed,appnp,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.862500011920929,0.8333333134651184,0.7834482789039612,290,135.938,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,3,0,3,class_balanced_random_split_seed,gcnii,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.4625000059604645,0.44583332538604736,0.3706206977367401,70,161.494,81032,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,3,0,3,class_balanced_random_split_seed,correct_smooth,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.8833333253860474,0.8411034345626831,185,66.375,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,3,0,3,class_balanced_random_split_seed,linkx,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.7416666746139526,0.6422069072723389,60,10.831,550536,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,3,0,3,class_balanced_random_split_seed,mlp_prop,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.831250011920929,0.8291666507720947,0.7795861959457397,200,52.413,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,3,0,3,class_balanced_random_split_seed,sign,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.9750000238418579,0.8541666865348816,0.8046896457672119,65,8.296,191304,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,4,0,4,class_balanced_random_split_seed,gat,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.8999999761581421,0.8458333611488342,0.8539310097694397,95,105.231,193560,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,4,0,4,class_balanced_random_split_seed,graphsage,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.9937499761581421,0.8999999761581421,0.8921379446983337,115,55.378,96456,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,4,0,4,class_balanced_random_split_seed,appnp,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.887499988079071,0.8458333611488342,0.8482758402824402,175,79.786,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,4,0,4,class_balanced_random_split_seed,gcnii,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.5,0.48750001192092896,0.4281379282474518,140,198.0,81032,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,4,0,4,class_balanced_random_split_seed,correct_smooth,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.887499988079071,0.8448275923728943,90,30.945,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,4,0,4,class_balanced_random_split_seed,linkx,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,1.0,0.7083333134651184,0.6034482717514038,55,9.822,550536,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,4,0,4,class_balanced_random_split_seed,mlp_prop,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.8999999761581421,0.8416666388511658,0.8277241587638855,125,36.647,48264,early_stop_by_postprocessed_val_acc_only_no_test
amazon-photo,4,0,4,class_balanced_random_split_seed,sign,7650,745,8,160,240,7250,0.01,0.0005,64,0.5,0.987500011920929,0.8666666746139526,0.8449655175209045,100,10.523,191304,early_stop_by_postprocessed_val_acc_only_no_test
