dataset,split,class,n_nodes_all,n_nodes_test,R_c,L_c,H_c,T_c,S_c,VarSignal_c,test_acc_c
texas,0,0,33,4,0.09899652292223407,0.5037995499695141,0.3972039270795416,1.727107415181586,0.528916385241686,0.0032179528837735084,1.0
texas,0,2,18,4,0.07805923362484908,0.5492878607910083,0.37265290555520586,1.4965006904790081,0.5396385162995145,0.0038167496252421167,0.5
texas,0,3,101,24,0.1012689380263047,0.4928594901115675,0.405871571833468,2.28854860765285,0.5801825780141107,0.005017579566716962,0.9583333333333334
texas,0,4,30,5,0.10324832311946648,0.5183157485473939,0.3784359283087585,1.0555684619261294,0.5101683567833617,0.003727277314103353,0.8

