dataset,split,class,n_nodes_all,n_nodes_test,R_c,L_c,H_c,T_c,S_c,VarSignal_c,test_acc_c
squirrel,0,0,1042,213,0.011234729978868329,0.6076236227454217,0.3811416460752012,927518354.1190195,0.3349291461520689,0.010708648224202966,0.568075117370892
squirrel,0,1,1040,206,0.01519476372471131,0.6147431573090352,0.3700620778474401,0.7370820504207858,0.33656091438381613,0.009138342055753654,0.47572815533980584
squirrel,0,2,1039,215,0.022529153963914066,0.6127103957567096,0.36476044915811673,0.6745595021470382,0.3599723892510454,0.007596048565856698,0.5209302325581395
squirrel,0,3,1040,201,0.025091591792416296,0.6288813030480435,0.34602710415012766,0.6175666423430455,0.3744399896193602,0.008424859234867008,0.6766169154228856
squirrel,0,4,1040,206,0.03276016310084888,0.636868561830351,0.33037127416632067,0.5150557919119175,0.3992588823166592,0.007446800370022986,0.7718446601941747

