top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc_shadow_not_for_selection,val_bal_acc,objective,num_selected_features,dataset,train_per_class,repeat,method
4000,64,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.23333333333333334,0.18096135721017909,0.23333333333333334,0.23333333333333334,4000,chameleon,1,2,src_v16c
4000,64,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.22666666666666666,0.18331762488218661,0.22666666666666666,0.22666666666666666,4000,chameleon,1,2,src_v16c
4000,64,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.22,0.1828463713477851,0.21999999999999997,0.22,4000,chameleon,1,2,src_v16c
4000,64,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.22,0.18001885014137606,0.21999999999999997,0.22,4000,chameleon,1,2,src_v16c
4000,64,0.99,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.23333333333333334,0.1828463713477851,0.23333333333333334,0.23333333333333334,4000,chameleon,1,2,src_v16c
4000,96,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.22,0.18331762488218661,0.21999999999999997,0.22,4000,chameleon,1,2,src_v16c
4000,96,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.23333333333333334,0.18096135721017909,0.23333333333333334,0.23333333333333334,4000,chameleon,1,2,src_v16c
4000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.22666666666666666,0.18331762488218661,0.22666666666666666,0.22666666666666666,4000,chameleon,1,2,src_v16c
4000,96,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.22,0.1828463713477851,0.21999999999999997,0.22,4000,chameleon,1,2,src_v16c
4000,96,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.22,0.18001885014137606,0.21999999999999997,0.22,4000,chameleon,1,2,src_v16c
4000,96,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",1.0,0.23333333333333334,0.1828463713477851,0.23333333333333334,0.23333333333333334,4000,chameleon,1,2,src_v16c
4000,96,0.99,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",1.0,0.22,0.18331762488218661,0.21999999999999997,0.22,4000,chameleon,1,2,src_v16c
4000,96,0.99,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",1.0,0.23333333333333334,0.18096135721017909,0.23333333333333334,0.23333333333333334,4000,chameleon,1,2,src_v16c
4000,96,0.99,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.22666666666666666,0.18331762488218661,0.22666666666666666,0.22666666666666666,4000,chameleon,1,2,src_v16c
4000,96,0.99,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",1.0,0.22,0.1828463713477851,0.21999999999999997,0.22,4000,chameleon,1,2,src_v16c
4000,96,0.99,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",1.0,0.22,0.18001885014137606,0.21999999999999997,0.22,4000,chameleon,1,2,src_v16c
