top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc_shadow_not_for_selection,val_bal_acc,objective,num_selected_features,experiment,dataset,split,split_policy
2000,32,0.95,"(0.01, 0.1, 1.0)",0.3,full,"[0.01, 0.1, 1.0]",0.9212454212454212,0.6803840877914952,0.6973684210526315,0.6758734736262826,0.6803840877914952,2000,E07,chameleon,0,fixed_geom_gcn_split
2000,32,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9194139194139194,0.6803840877914952,0.706140350877193,0.6758734736262826,0.6803840877914952,2000,E07,chameleon,0,fixed_geom_gcn_split
2000,32,0.95,"(0.01, 0.1, 1.0)",0.5,full,"[0.01, 0.1, 1.0]",0.9175824175824175,0.6776406035665294,0.706140350877193,0.6726891579419669,0.6776406035665294,2000,E07,chameleon,0,fixed_geom_gcn_split
2000,32,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9175824175824175,0.6707818930041153,0.706140350877193,0.6649691752219842,0.6707818930041153,2000,E07,chameleon,0,fixed_geom_gcn_split
2000,32,0.95,"(0.01, 0.1, 1.0)",0.7,full,"[0.01, 0.1, 1.0]",0.9139194139194139,0.6694101508916324,0.7039473684210527,0.6631623121791661,0.6694101508916324,2000,E07,chameleon,0,fixed_geom_gcn_split
2000,32,0.95,"(0.01, 0.1, 1.0)",0.8,full,"[0.01, 0.1, 1.0]",0.9084249084249084,0.6652949245541838,0.7017543859649122,0.6588332522321286,0.6652949245541838,2000,E07,chameleon,0,fixed_geom_gcn_split
2000,32,0.95,"(0.05, 0.5, 5.0)",0.2,full,"[0.05, 0.5, 5.0]",0.8589743589743589,0.6611796982167353,0.6535087719298246,0.6562240371229136,0.6611796982167353,2000,E07,chameleon,0,fixed_geom_gcn_split
2000,32,0.95,"(0.05, 0.5, 5.0)",0.3,full,"[0.05, 0.5, 5.0]",0.8598901098901099,0.6584362139917695,0.6535087719298246,0.6530869714858479,0.6584362139917695,2000,E07,chameleon,0,fixed_geom_gcn_split
2000,32,0.95,"(0.05, 0.5, 5.0)",0.4,full,"[0.05, 0.5, 5.0]",0.8598901098901099,0.6584362139917695,0.6535087719298246,0.652699858598735,0.6584362139917695,2000,E07,chameleon,0,fixed_geom_gcn_split
2000,32,0.95,"(0.05, 0.5, 5.0)",0.5,full,"[0.05, 0.5, 5.0]",0.8608058608058609,0.6584362139917695,0.6535087719298246,0.652699858598735,0.6584362139917695,2000,E07,chameleon,0,fixed_geom_gcn_split
2000,32,0.95,"(0.05, 0.5, 5.0)",0.6,full,"[0.05, 0.5, 5.0]",0.8626373626373627,0.6584362139917695,0.6535087719298246,0.652699858598735,0.6584362139917695,2000,E07,chameleon,0,fixed_geom_gcn_split
2000,32,0.95,"(0.05, 0.5, 5.0)",0.7,full,"[0.05, 0.5, 5.0]",0.86996336996337,0.6584362139917695,0.6666666666666666,0.6529748644917184,0.6584362139917695,2000,E07,chameleon,0,fixed_geom_gcn_split
2000,32,0.95,"(0.05, 0.5, 5.0)",0.8,full,"[0.05, 0.5, 5.0]",0.8644688644688645,0.6488340192043895,0.668859649122807,0.6438764166292257,0.6488340192043895,2000,E07,chameleon,0,fixed_geom_gcn_split
2000,32,0.95,"(0.1, 1.0, 10.0)",0.2,full,"[0.1, 1.0, 10.0]",0.8278388278388278,0.6529492455418381,0.6469298245614035,0.6471054530043294,0.6529492455418381,2000,E07,chameleon,0,fixed_geom_gcn_split
