stage,changed_class,trial_dim,class_dims_json,objective,val_acc,balanced_norm_true_residual,balanced_true_explained_ratio,mean_fp_rate,mean_dim_frac,accepted,reason,split,global_val_dim,global_obj_dim,base_objective,base_val_acc,fixed_vs_base,broken_vs_base,break_rate,floor_ok,val_gain_vs_global,coverage_gain_vs_global,fixed_vs_global,broken_vs_global,break_rate_vs_global,candidate_val_acc,candidate_objective,candidate_class_dims_json
greedy_pass_0,2,24,"{""0"": 48, ""1"": 64, ""2"": 24, ""3"": 64, ""4"": 64}",0.6513890725981611,0.6721536351165981,2.0013202738144376,0.4308528468830162,0.08248855839123564,0.825,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6624560476471602,0.6844993141289437,19,28,0.056112224448897796,1,,,,,,,,
greedy_pass_0,2,32,"{""0"": 48, ""1"": 64, ""2"": 32, ""3"": 64, ""4"": 64}",0.6539140628352457,0.6748971193415638,2.023688967569698,0.43462525513553824,0.08173339255816572,0.85,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6624560476471602,0.6844993141289437,15,22,0.04408817635270541,1,,,,,,,,
greedy_pass_0,2,48,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 64}",0.6645607654277829,0.6858710562414266,2.0591115088522423,0.43911840901852794,0.07878246805977607,0.9,0,candidate_ok,6,64,24,0.6624560476471602,0.6844993141289437,8,7,0.014028056112224449,1,,,,,,,,
greedy_pass_0_accept,2,48,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 64}",0.6645607654277829,0.6858710562414266,2.0591115088522423,0.43911840901852794,0.07878246805977607,0.9,1,best_class_coordinate_update,6,64,24,,,8,7,0.014028056112224449,,,,,,,,,
greedy_pass_0,3,16,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 16, ""4"": 64}",0.6418898873238402,0.6625514403292181,1.993796475605786,0.42334485827472185,0.0833483841209377,0.75,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,18,35,0.07,1,,,,,,,,
greedy_pass_0,3,24,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 24, ""4"": 64}",0.6526650843957946,0.6735253772290809,2.0182686718420597,0.4287435580555957,0.0808790173544004,0.775,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,14,23,0.046,1,,,,,,,,
greedy_pass_0,3,32,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 32, ""4"": 64}",0.6595200773394664,0.6803840877914952,2.020606010940807,0.432040054338897,0.07930552799881445,0.8,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,13,17,0.034,1,,,,,,,,
greedy_pass_0,3,48,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 48, ""4"": 64}",0.6566895100890086,0.6776406035665294,2.0237008292177228,0.43645008205648994,0.08049427567847584,0.85,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,4,10,0.02,1,,,,,,,,
greedy_pass_0,4,16,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 16}",0.637383833024644,0.6570644718792867,1.8871538413376718,0.4181175897553162,0.08657854001436402,0.75,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,7,28,0.056,1,,,,,,,,
greedy_pass_0,4,24,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 24}",0.6508683957856918,0.6707818930041153,1.918207856652971,0.4254627118627677,0.08291347496724275,0.775,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,5,16,0.032,1,,,,,,,,
greedy_pass_0,4,32,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 32}",0.6589929779771045,0.6790123456790124,1.932416277645205,0.42989407914510025,0.08073906210180178,0.8,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,4,9,0.018,1,,,,,,,,
greedy_pass_0,4,48,"{""0"": 48, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 48}",0.6611062444499658,0.6817558299039781,1.9943478372518861,0.4355086138211286,0.07990707683889751,0.85,0,no_objective_gain|val_acc_drop,6,64,24,0.6645607654277829,0.6858710562414266,2,5,0.01,1,,,,,,,,
greedy_pass_1,0,16,"{""0"": 16, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 64}",0.6568864267701474,0.6762688614540466,1.8651121582400365,0.4225517571750747,0.0810760065099575,0.8,0,protected_class_0_dim_below_32|no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,17,24,0.048,0,,,,,,,,
greedy_pass_1,0,24,"{""0"": 24, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 64}",0.6619056895198823,0.6817558299039781,1.914389870871262,0.4283527030500659,0.07973262437917505,0.825,0,protected_class_0_dim_below_32|no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,13,16,0.032,0,,,,,,,,
greedy_pass_1,0,32,"{""0"": 32, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 64}",0.6657474808794992,0.6858710562414266,1.942958149419295,0.43247264985753997,0.07869422335823453,0.85,0,break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,8,8,0.016,1,,,,,,,,
greedy_pass_1,0,64,"{""0"": 64, ""1"": 64, ""2"": 48, ""3"": 64, ""4"": 64}",0.6598247992000988,0.6831275720164609,2.2532741092657895,0.4427979439376909,0.0795611749727462,0.95,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,8,10,0.02,1,,,,,,,,
greedy_pass_1,1,16,"{""0"": 48, ""1"": 16, ""2"": 48, ""3"": 64, ""4"": 64}",0.6718134503861588,0.691358024691358,1.8900352405566951,0.4142836665902555,0.07756782829965485,0.75,0,protected_class_1_dim_below_32|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,27,23,0.046,0,,,,,,,,
greedy_pass_1,1,24,"{""0"": 48, ""1"": 24, ""2"": 48, ""3"": 64, ""4"": 64}",0.6744952913306289,0.6941015089163237,1.8984406224090187,0.42255102339570333,0.07685077275937638,0.775,0,protected_class_1_dim_below_32|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,25,19,0.038,0,,,,,,,,
greedy_pass_1,1,32,"{""0"": 48, ""1"": 32, ""2"": 48, ""3"": 64, ""4"": 64}",0.6700014214501521,0.6899862825788752,1.9337865504718699,0.42756206129310836,0.07786219345883866,0.8,0,break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,20,17,0.034,1,,,,,,,,
greedy_pass_1,1,48,"{""0"": 48, ""1"": 48, ""2"": 48, ""3"": 64, ""4"": 64}",0.6628140795779107,0.6831275720164609,1.9608870245814676,0.4340131238851333,0.07953373441380292,0.85,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,6,8,0.016,1,,,,,,,,
greedy_pass_1,2,16,"{""0"": 48, ""1"": 64, ""2"": 16, ""3"": 64, ""4"": 64}",0.6420688919159034,0.6625514403292181,1.9678277548513126,0.4245758648463669,0.08512871620934605,0.8,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,14,31,0.062,1,,,,,,,,
greedy_pass_1,2,24,"{""0"": 48, ""1"": 64, ""2"": 24, ""3"": 64, ""4"": 64}",0.6513890725981611,0.6721536351165981,2.0013202738144376,0.4308528468830162,0.08248855839123564,0.825,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,11,21,0.042,1,,,,,,,,
greedy_pass_1,2,32,"{""0"": 48, ""1"": 64, ""2"": 32, ""3"": 64, ""4"": 64}",0.6539140628352457,0.6748971193415638,2.023688967569698,0.43462525513553824,0.08173339255816572,0.85,0,no_objective_gain|val_acc_drop|break_rate_high,6,64,24,0.6645607654277829,0.6858710562414266,7,15,0.03,1,,,,,,,,
