experiment,dataset,split,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,test_acc,val_bal_acc,num_features_after_variant,pca_dims_json,selection_rule
E05,chameleon,1,fixed_geom_gcn_split,ridge_only,src_v16c_ablation,1092,729,456,6000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",0.9789377289377289,0.6844993141289437,0.7280701754385965,0.6828537356381771,20925,"{""0"": 57, ""1"": 54, ""2"": 64, ""3"": 64, ""4"": 64}",ablation_grid_selected_by_val_only_no_test
E05,chameleon,1,fixed_geom_gcn_split,single_alpha,src_v16c_ablation,1092,729,456,6000,96,0.95,"(1.0,)",0.6,full,[1.0],0.9184981684981685,0.6598079561042524,0.7324561403508771,0.6607676249519148,20925,"{""0"": 57, ""1"": 54, ""2"": 76, ""3"": 73, ""4"": 74}",ablation_grid_selected_by_val_only_no_test
E05,chameleon,1,fixed_geom_gcn_split,fixed_dim64_energy095,src_v16c_ablation,1092,729,456,6000,64,0.95,"(0.01, 0.1, 1.0)",0.4,full,"[0.01, 0.1, 1.0]",0.9789377289377289,0.6858710562414266,0.7412280701754386,0.6851523581429625,20925,"{""0"": 57, ""1"": 54, ""2"": 64, ""3"": 64, ""4"": 64}",ablation_grid_selected_by_val_only_no_test
E05,chameleon,1,fixed_geom_gcn_split,raw_only,src_v16c_ablation,1092,729,456,4000,64,0.95,"(0.05, 0.5, 5.0)",0.5,raw_only,"[0.05, 0.5, 5.0]",0.9487179487179487,0.4334705075445816,0.4473684210526316,0.42995061942965196,2325,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",ablation_grid_selected_by_val_only_no_test
E05,chameleon,1,fixed_geom_gcn_split,row_lowpass_only,src_v16c_ablation,1092,729,456,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,row_lowpass_only,"[0.01, 0.1, 1.0]",0.9468864468864469,0.6831275720164609,0.7214912280701754,0.6825070375249694,9300,"{""0"": 42, ""1"": 43, ""2"": 63, ""3"": 54, ""4"": 60}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,0,fixed_geom_gcn_split,full,src_v16c_ablation,2496,1664,1041,4000,96,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",0.9643429487179487,0.6129807692307693,0.6243996157540826,0.6140936578854674,18801,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,0,fixed_geom_gcn_split,no_p3,src_v16c_ablation,2496,1664,1041,4000,96,0.95,"(0.01, 0.1, 1.0)",0.6,no_p3,"[0.01, 0.1, 1.0]",0.9731570512820513,0.6117788461538461,0.6099903938520653,0.6130445895539238,16712,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,0,fixed_geom_gcn_split,no_sym,src_v16c_ablation,2496,1664,1041,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,no_sym,"[0.01, 0.1, 1.0]",0.9583333333333334,0.5907451923076923,0.590778097982709,0.5915122134868154,12534,"{""0"": 64, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,0,fixed_geom_gcn_split,no_highpass,src_v16c_ablation,2496,1664,1041,4000,96,0.95,"(0.01, 0.1, 1.0)",0.6,no_highpass,"[0.01, 0.1, 1.0]",0.9278846153846154,0.6201923076923077,0.6195965417867435,0.6219458804071623,12534,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
E05,squirrel,0,fixed_geom_gcn_split,pca_only,src_v16c_ablation,2496,1664,1041,4000,96,0.95,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",0.9407051282051282,0.6033653846153846,0.5946205571565802,0.6043609813000813,18801,"{""0"": 96, ""1"": 96, ""2"": 96, ""3"": 96, ""4"": 96}",ablation_grid_selected_by_val_only_no_test
