dataset,ablation,n,val_mean,val_std,test_mean,test_std
amazon-computers,fixed_dim64_energy095,2,0.845,0.016499158227686057,0.7975399939631753,0.014940378715079453
amazon-computers,full,2,0.8466666666666667,0.018856180831641232,0.799803803199517,0.01814188843973937
amazon-computers,no_highpass,2,0.8616666666666666,0.03064129385141702,0.8004829459704195,0.013232906861927522
amazon-computers,no_p3,2,0.8316666666666667,0.01178511301977575,0.770147902203441,0.010778416073021617
amazon-computers,no_sym,2,0.7933333333333333,0.004714045207910269,0.7255131300935708,0.02086317170570032
amazon-computers,pca_only,2,0.8383333333333334,0.02592724864350683,0.7642997283428916,0.03772445625557574
amazon-computers,raw_only,2,0.7333333333333334,0.01885618083164135,0.6173407787503773,0.04193977739304455
amazon-computers,ridge_only,2,0.8500000000000001,0.02357022603955162,0.8002188348928463,0.013926567302270435
amazon-computers,row_lowpass_only,2,0.8516666666666667,0.040069384267237676,0.7846362813160277,0.026572530714677037
amazon-computers,single_alpha,2,0.8416666666666667,0.016499158227686175,0.7958421370359191,0.01712807702693035
amazon-photo,fixed_dim64_energy095,2,0.925,0.005892556509887914,0.8972413793103449,0.00799762152514439
amazon-photo,full,2,0.925,0.005892556509887914,0.8972413793103449,0.00799762152514439
amazon-photo,no_highpass,2,0.9312499999999999,0.02062394778460768,0.9075862068965517,0.009558133042245846
amazon-photo,no_p3,2,0.91875,0.0029462782549439376,0.8886896551724138,0.005656854249492385
amazon-photo,no_sym,2,0.8916666666666667,0.0,0.8682758620689655,0.009948260921521101
amazon-photo,pca_only,2,0.9125000000000001,0.017677669529663664,0.878551724137931,0.011411240468803544
amazon-photo,raw_only,2,0.8104166666666667,0.014731391274719688,0.7730344827586206,0.00497413046076061
amazon-photo,ridge_only,2,0.9166666666666666,0.005892556509887875,0.9037931034482758,0.006144514098586533
amazon-photo,row_lowpass_only,2,0.91875,0.014731391274719806,0.8998620689655172,0.008192685464782096
amazon-photo,single_alpha,2,0.9208333333333334,0.005892556509887992,0.8962068965517241,0.006339578038224279
chameleon,fixed_dim64_energy095,2,0.7098765432098766,0.03394888524215248,0.7280701754385965,0.01860807318911961
chameleon,full,2,0.7139917695473251,0.03394888524215252,0.7302631578947368,0.01240538212607982
chameleon,no_highpass,2,0.7181069958847737,0.026189140043946166,0.7335526315789473,0.013956054891839797
chameleon,no_p3,2,0.7208504801097393,0.026189140043946204,0.7324561403508771,0.01860807318911969
chameleon,no_sym,2,0.7146776406035665,0.015519490396412547,0.7346491228070176,0.027912109783679515
chameleon,pca_only,2,0.7098765432098766,0.024249203744394616,0.7214912280701755,0.03101345531519943
chameleon,raw_only,2,0.4458161865569273,0.017459426695964134,0.44298245614035087,0.00620269106303991
