dataset,method,n,time_mean,time_std,peak_mem_mean,test_mean,stored_coefficients_proxy_mean
amazon-computers,src_v16c,2,292.8656783000042,1.337811664595393,2625.995202064514,0.8030863265922125,710000.0
amazon-photo,src_v16c,2,136.36621734999062,0.4527833115514286,1451.2703113555908,0.8908275862068966,529840.0
chameleon,src_v16c,2,62.09739564999472,0.1451429299249296,727.0331964492798,0.7302631578947368,2431380.0
cornell,src_v16c,2,4.496337350006797,0.038637233740470366,51.23820161819458,0.7162162162162162,379305.0
squirrel,src_v16c,2,161.41298254999856,0.41629702590515555,1492.0697937011719,0.6268011527377522,2437440.0
texas,src_v16c,2,4.08558254998934,0.03314442829801768,51.16394281387329,0.8378378378378378,338044.0
wisconsin,src_v16c,2,5.973145249998197,0.06808469565666211,69.84207010269165,0.8235294117647058,369800.0

