stage,changed_class,trial_dim,class_dims_json,objective,val_acc,balanced_norm_true_residual,balanced_true_explained_ratio,mean_fp_rate,mean_dim_frac,accepted,reason,split,base_objective,base_val_acc,fixed_vs_base,broken_vs_base,break_rate
greedy_pass_0,0,16,"{""0"": 16, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",0.6580831422134253,0.6776406035665294,1.880277834598757,0.43109751827773657,0.08145365401137915,0.85,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6724681811183558,0.6941015089163237,22,34,0.06719367588932806
greedy_pass_0,0,24,"{""0"": 24, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",0.67731228028013,0.6968449931412894,1.8877848514963436,0.4378717533617921,0.0765675679821631,0.875,0,break_rate_high,3,0.6724681811183558,0.6941015089163237,22,20,0.039525691699604744
greedy_pass_0,0,32,"{""0"": 32, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",0.6757558287698441,0.6954732510288066,1.90448475454562,0.44118864269435526,0.07686646421418701,0.9,0,break_rate_high,3,0.6724681811183558,0.6941015089163237,16,15,0.029644268774703556
greedy_pass_0,0,48,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",0.6807792942893794,0.700960219478738,1.9510114664748497,0.44686552937854873,0.07541363210621115,0.95,0,candidate_ok,3,0.6724681811183558,0.6941015089163237,7,2,0.003952569169960474
greedy_pass_0_accept,0,48,"{""0"": 48, ""1"": 64, ""2"": 64, ""3"": 64, ""4"": 64}",0.6807792942893794,0.700960219478738,1.9510114664748497,0.44686552937854873,0.07541363210621115,0.95,1,best_class_coordinate_update,3,,,7,2,0.003952569169960474
greedy_pass_0,1,16,"{""0"": 48, ""1"": 16, ""2"": 64, ""3"": 64, ""4"": 64}",0.6577365402202262,0.6762688614540466,1.7798080556614824,0.42331123945309157,0.08137428175089463,0.8,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,21,39,0.07632093933463796
greedy_pass_0,1,24,"{""0"": 48, ""1"": 24, ""2"": 64, ""3"": 64, ""4"": 64}",0.6673047160432811,0.6858710562414266,1.788137292773413,0.4300672797820521,0.07901181947698446,0.825,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,19,30,0.05870841487279843
greedy_pass_0,1,32,"{""0"": 48, ""1"": 32, ""2"": 64, ""3"": 64, ""4"": 64}",0.6753505147440345,0.6941015089163237,1.8105231723708415,0.43608486612548775,0.07700509565413562,0.85,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,12,17,0.033268101761252444
greedy_pass_0,1,48,"{""0"": 48, ""1"": 48, ""2"": 64, ""3"": 64, ""4"": 64}",0.6804874654065428,0.6995884773662552,1.8453839866440365,0.4416689472167709,0.07569239410695501,0.9,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,7,8,0.015655577299412915
greedy_pass_0,2,16,"{""0"": 48, ""1"": 64, ""2"": 16, ""3"": 64, ""4"": 64}",0.6531085971589359,0.6721536351165981,1.8299747098097108,0.4275139160808335,0.08276732619442384,0.8,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,16,37,0.07240704500978473
greedy_pass_0,2,24,"{""0"": 48, ""1"": 64, ""2"": 24, ""3"": 64, ""4"": 64}",0.6598064420542152,0.6790123456790124,1.8490146989314595,0.4323068694881962,0.08099920567176509,0.825,0,no_objective_gain|val_acc_drop|break_rate_high,3,0.6807792942893794,0.700960219478738,13,29,0.05675146771037182
