dataset,method,n,train_mean,train_std,val_mean,val_std,test_mean,test_std,time_mean,params_mean,train_size,val_size,test_size,num_nodes,num_features,num_classes,split_policy,train_mean_%,train_std_%,val_mean_%,val_std_%,test_mean_%,test_std_%
amazon-computers,graphsage,10,0.9610000133514405,0.02492210472583433,0.8703333377838135,0.026031793344088314,0.7683972239494323,0.022751516099909302,208.5456,99530.0,200,300,13252,13752,767,10,class_balanced_random_20_train_30_val_per_class,96.10000133514404,2.492210472583433,87.03333377838135,2.6031793344088316,76.83972239494324,2.2751516099909304
amazon-photo,graphsage,10,0.9843749940395355,0.012926743061045295,0.9116666734218597,0.013292771261535311,0.8836965441703797,0.01864511915071564,81.3078,96456.0,160,240,7250,7650,745,8,class_balanced_random_20_train_30_val_per_class,98.43749940395355,1.2926743061045294,91.16666734218597,1.329277126153531,88.36965441703796,1.8645119150715639
chameleon,linkx,10,0.9922161102294922,0.008021167391972613,0.7193415522575378,0.017317535890375532,0.7155701696872712,0.014946994669949577,3.5554,307589.0,1092,729,456,2277,2325,5,fixed_geom_gcn_split_id_0,99.22161102294922,0.8021167391972613,71.93415522575378,1.7317535890375533,71.55701696872711,1.4946994669949576
cornell,graphsage,10,0.9804597675800324,0.027119291910035287,0.7830508470535278,0.049768849065130835,0.7243243217468261,0.06471453625046544,0.7948,218693.0,87,59,37,183,1703,5,random_stratified_matching_fixed_split0_class_counts,98.04597675800323,2.7119291910035286,78.30508470535278,4.976884906513083,72.43243217468262,6.471453625046545
texas,graphsage,10,0.987356323003769,0.023274083674277062,0.8372881352901459,0.03501001901398203,0.8432432472705841,0.04732945965541855,0.7861,218693.0,87,59,37,183,1703,5,random_stratified_matching_fixed_split0_class_counts,98.73563230037689,2.327408367427706,83.72881352901459,3.5010019013982028,84.32432472705841,4.732945965541855
wisconsin,graphsage,10,0.9708333253860474,0.01934499379859462,0.8250000059604645,0.02041241938989782,0.8333333432674408,0.05249142956476028,0.8778,218693.0,120,80,51,251,1703,5,random_stratified_matching_fixed_split0_class_counts,97.08333253860474,1.9344993798594619,82.50000059604645,2.041241938989782,83.33333432674408,5.249142956476028

