experiment,dataset,repeat,split,split_id,split_seed,split_policy,ablation,method,train_size,val_size,test_size,top_k,dim,energy,alphas,w,feature_variant,alphas_json,train_acc,val_acc,val_bal_acc,num_features_after_variant,test_acc,pca_dims_json,retained_variance_json,time_sec,selection_rule
E05,amazon-computers,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,no_p3,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,no_p3,"[0.01, 0.1, 1.0]",1.0,0.83,0.8300000000000001,6136,0.7638092363416843,"{""0"": 17, ""1"": 17, ""2"": 18, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 17, ""8"": 18, ""9"": 17}","{""0"": 0.9595052779516443, ""1"": 0.964357799033398, ""2"": 0.9743152105420199, ""3"": 0.964982051318043, ""4"": 0.9647136827348628, ""5"": 0.9589957243412414, ""6"": 0.963556389661698, ""7"": 0.9713853208911999, ""8"": 0.9772452483024973, ""9"": 0.9614598195417484}",731.5764297889982,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,no_sym,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.5,no_sym,"[0.01, 0.1, 1.0]",1.0,0.8266666666666667,0.8266666666666668,4602,0.7275128282523393,"{""0"": 17, ""1"": 17, ""2"": 18, ""3"": 17, ""4"": 17, ""5"": 16, ""6"": 16, ""7"": 17, ""8"": 17, ""9"": 17}","{""0"": 0.9585005376815233, ""1"": 0.96065482832352, ""2"": 0.9753657694570292, ""3"": 0.9603528789525752, ""4"": 0.960834286775673, ""5"": 0.9593508280730074, ""6"": 0.9692034676179243, ""7"": 0.9704464197366317, ""8"": 0.953731730241955, ""9"": 0.9612972456758946}",587.0299504459981,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,no_highpass,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.05, 0.5, 5.0)",0.4,no_highpass,"[0.05, 0.5, 5.0]",1.0,0.8666666666666667,0.8666666666666666,4602,0.8124056746151525,"{""0"": 16, ""1"": 15, ""2"": 18, ""3"": 16, ""4"": 16, ""5"": 15, ""6"": 14, ""7"": 16, ""8"": 17, ""9"": 16}","{""0"": 0.9539491101222859, ""1"": 0.9502450154073082, ""2"": 0.9743819873487095, ""3"": 0.9644453854246446, ""4"": 0.9586814492450463, ""5"": 0.9588149842897468, ""6"": 0.952325616109246, ""7"": 0.9560855849995312, ""8"": 0.9690325977361457, ""9"": 0.9628984881007844}",667.3705408480018,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,pca_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",1.0,full,"[0.01, 0.1, 1.0]",1.0,0.8266666666666667,0.8266666666666668,6903,0.7440386356776336,"{""0"": 17, ""1"": 16, ""2"": 18, ""3"": 16, ""4"": 16, ""5"": 15, ""6"": 15, ""7"": 17, ""8"": 17, ""9"": 17}","{""0"": 0.9629750045988381, ""1"": 0.9553942739449819, ""2"": 0.9745743611995882, ""3"": 0.9520553629063199, ""4"": 0.9604955606598075, ""5"": 0.9516668700398375, ""6"": 0.9552230323175861, ""7"": 0.9752851575647862, ""8"": 0.9550201475920943, ""9"": 0.9647356540328377}",238.46141021399671,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,ridge_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.0,full,"[0.01, 0.1, 1.0]",1.0,0.86,0.86,6903,0.7967853908843948,"{""0"": 17, ""1"": 16, ""2"": 18, ""3"": 16, ""4"": 16, ""5"": 15, ""6"": 15, ""7"": 17, ""8"": 17, ""9"": 17}","{""0"": 0.9629750045988381, ""1"": 0.9553942739449819, ""2"": 0.9745743611995882, ""3"": 0.9520553629063199, ""4"": 0.9604955606598075, ""5"": 0.9516668700398375, ""6"": 0.9552230323175861, ""7"": 0.9752851575647862, ""8"": 0.9550201475920943, ""9"": 0.9647356540328377}",223.9095657719954,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,single_alpha,src_v16c_ablation,200,300,13252,4000,64,0.95,"(1.0,)",0.4,full,[1.0],1.0,0.8433333333333334,0.8433333333333334,6903,0.8009357078176879,"{""0"": 17, ""1"": 16, ""2"": 18, ""3"": 16, ""4"": 16, ""5"": 15, ""6"": 15, ""7"": 17, ""8"": 17, ""9"": 17}","{""0"": 0.9629750045988381, ""1"": 0.9553942739449819, ""2"": 0.9745743611995882, ""3"": 0.9520553629063199, ""4"": 0.9604955606598075, ""5"": 0.9516668700398375, ""6"": 0.9552230323175861, ""7"": 0.9752851575647862, ""8"": 0.9550201475920943, ""9"": 0.9647356540328377}",373.685483493995,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,fixed_dim64_energy095,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.6,full,"[0.01, 0.1, 1.0]",1.0,0.86,0.86,6903,0.7960307878056142,"{""0"": 17, ""1"": 16, ""2"": 18, ""3"": 16, ""4"": 16, ""5"": 15, ""6"": 15, ""7"": 17, ""8"": 17, ""9"": 17}","{""0"": 0.9629750045988381, ""1"": 0.9553942739449819, ""2"": 0.9745743611995882, ""3"": 0.9520553629063199, ""4"": 0.9604955606598075, ""5"": 0.9516668700398375, ""6"": 0.9552230323175861, ""7"": 0.9752851575647862, ""8"": 0.9550201475920943, ""9"": 0.9647356540328377}",190.12907666100364,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,raw_only,src_v16c_ablation,200,300,13252,4000,64,0.99,"(0.01, 0.1, 1.0)",0.6,raw_only,"[0.01, 0.1, 1.0]",1.0,0.7133333333333334,0.7133333333333334,767,0.6026260187141563,"{""0"": 18, ""1"": 18, ""2"": 19, ""3"": 18, ""4"": 19, ""5"": 18, ""6"": 17, ""7"": 18, ""8"": 19, ""9"": 19}","{""0"": 0.9904182383306305, ""1"": 0.9924038939924937, ""2"": 1.0, ""3"": 0.994562696214635, ""4"": 1.0, ""5"": 0.9927462624653128, ""6"": 0.9940379986016215, ""7"": 0.9996596784288347, ""8"": 1.0, ""9"": 1.0}",137.20223011299822,ablation_grid_selected_by_val_only_test_once_after_selection_no_full
E05,amazon-computers,3,3,,20260422,class_balanced_random_20_train_30_val_per_class,row_lowpass_only,src_v16c_ablation,200,300,13252,4000,64,0.95,"(0.01, 0.1, 1.0)",0.4,row_lowpass_only,"[0.01, 0.1, 1.0]",1.0,0.8533333333333334,0.8533333333333333,3068,0.7918050105644431,"{""0"": 16, ""1"": 16, ""2"": 18, ""3"": 16, ""4"": 17, ""5"": 16, ""6"": 14, ""7"": 17, ""8"": 17, ""9"": 16}","{""0"": 0.9513081017110734, ""1"": 0.9608575983747838, ""2"": 0.9745998465569292, ""3"": 0.9640459977246968, ""4"": 0.958656309783461, ""5"": 0.9613069917836516, ""6"": 0.9550639418261349, ""7"": 0.9775365309975075, ""8"": 0.9700277016899417, ""9"": 0.9533801335401347}",546.2627031359953,ablation_grid_selected_by_val_only_test_once_after_selection_no_full

