dataset,split,class,C_c,retained_variance
cornell,0,0,13,0.9291933843368179
cornell,0,1,7,0.9463443674427036
cornell,0,2,11,0.9210469537403752
cornell,0,3,21,0.9102213406441033
cornell,0,4,6,0.9090189712280852

