dataset,split,class,n_nodes_all,n_nodes_test,R_c,L_c,H_c,T_c,S_c,VarSignal_c,test_acc_c
amazon-photo,0,0,369,319,0.02762385280881059,0.8657504559675899,0.10662569121363338,1.9080484857262534,0.5278261982523828,0.003064220104918745,0.9561128526645768
amazon-photo,0,1,1686,1636,0.046691091203146295,0.841743842349901,0.11156506643539794,1.8590241856910477,0.5295806272603559,0.01238427655943681,0.8319070904645477
amazon-photo,0,2,703,653,0.03438124798652168,0.8486177083982456,0.11700104360339554,1.8551254406194386,0.5335367596114542,0.004955418090648437,0.9693721286370597
amazon-photo,0,3,915,865,0.03706274887337363,0.8570832451802807,0.10585400593632413,1.842070502425606,0.521695070385593,0.006107329810755767,0.8670520231213873
amazon-photo,0,4,882,832,0.03026314901376686,0.8667881149719254,0.10294873600489882,1.8612404757606607,0.5140568522884355,0.0030087618593319485,0.9543269230769231
amazon-photo,0,5,823,773,0.03817679512702115,0.8467754675733266,0.11504773728846374,1.8880613265294093,0.529302491295828,0.00811865238553805,0.9754204398447607
amazon-photo,0,6,1941,1891,0.030059175078612273,0.8583054298732666,0.11163539503580844,1.8729297642125897,0.515354537791009,0.0074326674547747695,0.849286092014807
amazon-photo,0,7,331,281,0.02749465769390754,0.8712019795430644,0.10130336275484478,1.8374808254686166,0.5132955297840451,0.00023283790481869448,0.8185053380782918

