dataset,split,class,C_c,retained_variance
amazon-photo,0,0,17,0.9673218694478957
amazon-photo,0,1,15,0.9598689815749607
amazon-photo,0,2,16,0.9652223440364908
amazon-photo,0,3,17,0.9674572172335367
amazon-photo,0,4,17,0.9622102437346197
amazon-photo,0,5,17,0.9617926937165815
amazon-photo,0,6,17,0.9604538989222078
amazon-photo,0,7,17,0.9532072270025125

