dataset,method,train_per_class,n,val_mean,val_std,test_mean,test_std
amazon-photo,src_v16c,3,5,0.5683333333333334,0.0521749194749951,0.5332520985648525,0.0592256464314038
amazon-photo,src_v16c,5,5,0.7658333333333334,0.02877716108305336,0.7069470827679784,0.0437360602267777
amazon-photo,src_v16c,8,5,0.8533333333333333,0.04690045605085067,0.7879662401306834,0.05050767477411853
amazon-photo,src_v16c,10,5,0.8708333333333333,0.017677669529663705,0.8401091405184176,0.015268705867577285
amazon-photo,src_v16c,15,5,0.8958333333333334,0.012147816447594401,0.8815363511659807,0.014143452803088048
amazon-photo,src_v16c,20,5,0.9141666666666666,0.012706625568314091,0.8792,0.01569489113087404
chameleon,ridge_multihop5,1,5,0.292,0.07694153624668539,0.24891611687087653,0.05748655733275362
chameleon,ridge_multihop5,2,5,0.3106666666666667,0.047516079149881235,0.29692961738308926,0.03279054181617521
chameleon,ridge_multihop5,3,5,0.32,0.06716480559869961,0.29914772727272726,0.061954547075672335
chameleon,ridge_multihop5,5,5,0.368,0.012823589374447563,0.3503330161750714,0.03525050362727913
chameleon,ridge_multihop5,8,5,0.4,0.039440531887330765,0.3879252515572592,0.04399195944321264
chameleon,ridge_multihop5,10,5,0.46266666666666667,0.03148191720831357,0.4362060664419836,0.023137822588553278
chameleon,ridge_multihop5,15,5,0.45866666666666667,0.029589788028229543,0.4612085769980506,0.025834436029393327
chameleon,ridge_multihop5,20,5,0.5066666666666666,0.028284271247461915,0.4740009866798224,0.019642116525581427
chameleon,ridge_raw,1,5,0.2946666666666667,0.02921186973360886,0.2763430725730443,0.01748915771481314
chameleon,ridge_raw,2,5,0.30933333333333335,0.019776529298921753,0.29485120453471897,0.01572136388089465
chameleon,ridge_raw,3,5,0.27999999999999997,0.025385910352879706,0.2929924242424243,0.022372848013282452
chameleon,ridge_raw,5,5,0.3373333333333333,0.06775773838545018,0.3314938154138915,0.012434869079128103
chameleon,ridge_raw,8,5,0.312,0.0562533949592773,0.3460469573550551,0.0035920775877319225
chameleon,ridge_raw,10,5,0.33333333333333337,0.03333333333333333,0.3413577274915744,0.013446547947779405
chameleon,ridge_raw,15,5,0.3293333333333333,0.035150470203904174,0.3384990253411306,0.008625868656735664
chameleon,ridge_raw,20,5,0.37866666666666665,0.027648588471103623,0.34543660582141095,0.013105581937275962
chameleon,src_v16c,1,5,0.296,0.0738767742783737,0.24957587181903867,0.06016525451705203
